model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(90.57, 78.6, 96.08, 61.12)","(83.4, 69.96, 96.45, 43.47)","(99.17, 96.01, 96.12, 95.9)","(99.1, 95.55, 95.79, 95.31)","(82.42, 61.5, 96.22, 26.78)","(85.64, 65.42, 96.1, 34.73)","(98.17, 93.12, 95.87, 90.38)","(96.4, 87.48, 96.1, 78.85)","(80.29, 59.73, 95.95, 23.52)"
drct-clip-vit-l-14,"(80.88, 74.51, 78.46, 70.56)","(81.87, 74.31, 78.58, 70.03)","(86.89, 79.32, 79.4, 79.25)","(86.18, 78.56, 78.41, 78.7)","(76.04, 70.4, 78.08, 62.72)","(86.36, 80.54, 78.3, 82.78)","(82.76, 75.76, 77.55, 73.97)","(79.23, 73.19, 78.92, 67.47)","(67.68, 63.98, 78.43, 49.53)"
