model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(85.48, 72.12, 98.57, 45.68)","(93.53, 69.68, 98.52, 40.83)","(99.91, 98.45, 98.5, 98.4)","(99.89, 98.32, 98.62, 98.01)","(63.26, 50.8, 98.42, 3.18)","(77.11, 52.9, 98.55, 7.25)","(99.87, 98.11, 98.8, 97.42)","(79.84, 57.61, 98.52, 16.7)","(70.4, 51.12, 98.62, 3.62)"
drct-clip-vit-l-14,"(79.4, 72.88, 82.75, 63.02)","(87.05, 79.62, 82.22, 77.02)","(89.9, 82.52, 82.62, 82.43)","(89.53, 82.32, 82.79, 81.86)","(66.19, 61.0, 82.9, 39.1)","(77.62, 71.87, 82.62, 61.12)","(87.78, 80.22, 83.43, 77.02)","(65.82, 59.75, 82.22, 37.28)","(71.33, 65.78, 83.23, 48.33)"
