model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(87.09, 73.06, 98.64, 47.49)","(95.16, 73.08, 98.68, 47.48)","(99.96, 98.81, 98.47, 99.15)","(99.93, 98.88, 98.71, 99.04)","(66.65, 51.03, 98.6, 3.47)","(79.53, 53.52, 98.5, 8.53)","(99.94, 98.73, 98.85, 98.62)","(81.88, 58.92, 98.55, 19.28)","(73.66, 51.52, 98.73, 4.32)"
drct-clip-vit-l-14,"(81.12, 74.52, 81.14, 67.9)","(87.98, 80.42, 81.1, 79.75)","(91.7, 84.25, 81.4, 87.1)","(90.97, 84.03, 81.34, 86.72)","(69.26, 63.43, 80.72, 46.15)","(80.03, 73.52, 80.48, 66.57)","(88.97, 81.64, 81.87, 81.42)","(67.31, 61.44, 80.73, 42.15)","(72.71, 67.42, 81.47, 53.38)"
