model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(92.76, 75.1, 99.71, 50.48)","(95.76, 75.88, 99.65, 52.1)","(99.99, 99.65, 99.67, 99.63)","(99.98, 99.54, 99.74, 99.35)","(76.56, 56.14, 99.77, 12.52)","(95.66, 61.92, 99.72, 24.13)","(99.87, 98.41, 99.75, 97.07)","(80.15, 55.92, 99.65, 12.18)","(94.11, 53.32, 99.75, 6.88)"
drct-clip-vit-l-14,"(95.13, 88.91, 88.42, 89.38)","(94.86, 88.97, 88.43, 89.5)","(98.27, 93.52, 88.67, 98.37)","(98.13, 93.09, 88.16, 98.01)","(88.65, 78.88, 88.47, 69.3)","(96.29, 90.6, 88.13, 93.07)","(96.26, 91.17, 89.02, 93.32)","(93.52, 86.87, 88.3, 85.43)","(95.04, 88.15, 88.22, 88.08)"
