model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(95.33, 76.09, 99.7, 52.48)","(98.9, 84.61, 99.67, 69.55)","(100.0, 99.89, 99.82, 99.97)","(99.99, 99.74, 99.62, 99.85)","(86.55, 53.16, 99.68, 6.63)","(93.7, 55.97, 99.65, 12.28)","(100.0, 99.71, 99.7, 99.72)","(91.75, 62.42, 99.72, 25.12)","(91.76, 53.25, 99.75, 6.75)"
drct-clip-vit-l-14,"(91.41, 84.04, 88.01, 80.07)","(92.8, 85.44, 87.95, 82.93)","(97.45, 91.82, 88.37, 95.27)","(97.31, 91.68, 87.89, 95.46)","(82.55, 72.26, 88.0, 56.52)","(92.99, 86.12, 87.5, 84.75)","(95.75, 89.91, 88.62, 91.2)","(85.99, 76.96, 87.58, 66.33)","(86.45, 78.15, 88.18, 68.12)"
