model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(87.6, 78.51, 92.27, 64.74)","(95.77, 88.27, 91.98, 84.55)","(99.87, 96.18, 92.6, 99.75)","(99.82, 95.87, 92.16, 99.58)","(72.95, 60.08, 92.27, 27.88)","(73.26, 61.18, 92.27, 30.1)","(99.65, 95.36, 91.82, 98.9)","(77.93, 64.85, 92.37, 37.33)","(81.54, 66.27, 92.68, 39.85)"
drct-clip-vit-l-14,"(67.38, 60.03, 37.5, 82.56)","(69.77, 62.82, 37.22, 88.42)","(80.53, 66.34, 37.07, 95.62)","(79.67, 66.0, 37.05, 94.95)","(56.99, 54.14, 37.62, 70.67)","(47.62, 47.38, 36.88, 57.88)","(80.72, 65.7, 37.62, 93.78)","(62.93, 57.42, 38.22, 76.62)","(60.79, 60.41, 38.32, 82.5)"
