model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(92.81, 80.0, 98.34, 61.66)","(98.77, 93.02, 98.37, 87.68)","(100.0, 99.19, 98.4, 99.98)","(99.96, 99.04, 98.22, 99.86)","(80.96, 58.12, 98.08, 18.15)","(87.73, 63.28, 98.27, 28.3)","(99.99, 99.27, 98.67, 99.87)","(83.23, 64.39, 98.55, 30.23)","(91.86, 63.69, 98.15, 29.23)"
drct-clip-vit-l-14,"(78.93, 71.07, 58.45, 83.7)","(81.39, 73.02, 58.32, 87.73)","(87.59, 76.66, 59.07, 94.25)","(86.61, 76.02, 57.86, 94.19)","(69.24, 63.67, 58.28, 69.05)","(72.5, 67.06, 57.88, 76.23)","(85.1, 75.17, 59.02, 91.32)","(69.9, 64.46, 58.28, 70.63)","(79.11, 72.52, 58.87, 86.18)"
