model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(92.52, 75.27, 99.5, 51.04)","(98.19, 81.15, 99.5, 62.8)","(100.0, 99.68, 99.47, 99.9)","(99.98, 99.56, 99.39, 99.74)","(78.84, 52.51, 99.47, 5.55)","(89.35, 55.57, 99.5, 11.63)","(99.99, 99.52, 99.6, 99.45)","(88.93, 61.6, 99.6, 23.6)","(84.84, 52.56, 99.45, 5.67)"
drct-clip-vit-l-14,"(88.34, 80.8, 86.1, 75.49)","(91.38, 83.56, 85.78, 81.33)","(96.1, 89.6, 86.4, 92.8)","(95.99, 89.94, 86.41, 93.46)","(78.0, 69.06, 85.67, 52.45)","(88.64, 81.65, 86.23, 77.07)","(93.86, 87.12, 86.2, 88.05)","(80.29, 70.78, 85.77, 55.8)","(82.43, 74.69, 86.38, 63.0)"
