model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(88.19, 79.07, 93.42, 64.71)","(96.73, 90.18, 93.55, 86.8)","(99.96, 96.66, 93.37, 99.95)","(99.93, 96.57, 93.36, 99.78)","(73.61, 60.12, 93.15, 27.1)","(74.3, 61.46, 93.32, 29.6)","(99.89, 96.48, 93.23, 99.72)","(78.59, 65.29, 93.68, 36.9)","(82.53, 65.77, 93.73, 37.8)"
drct-clip-vit-l-14,"(70.2, 64.39, 51.36, 77.41)","(73.76, 67.88, 50.13, 85.63)","(80.57, 70.62, 51.13, 90.1)","(79.3, 70.29, 50.69, 89.89)","(59.95, 56.12, 50.8, 61.45)","(55.95, 54.61, 50.63, 58.58)","(79.16, 69.7, 51.88, 87.52)","(63.1, 58.43, 52.08, 64.77)","(69.83, 67.46, 53.57, 81.35)"
