model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(95.1, 77.49, 99.8, 55.18)","(98.65, 86.96, 99.9, 74.02)","(100.0, 99.89, 99.8, 99.98)","(99.99, 99.84, 99.8, 99.89)","(81.44, 56.22, 99.75, 12.7)","(96.97, 63.0, 99.75, 26.25)","(99.99, 99.74, 99.75, 99.73)","(86.12, 57.56, 99.77, 15.35)","(97.64, 56.7, 99.87, 13.53)"
drct-clip-vit-l-14,"(95.91, 89.74, 91.88, 87.6)","(96.3, 90.55, 91.85, 89.25)","(99.02, 95.16, 92.02, 98.3)","(98.89, 94.85, 91.82, 97.88)","(89.78, 79.22, 92.23, 66.22)","(96.48, 91.52, 91.3, 91.73)","(97.69, 92.94, 92.28, 93.6)","(94.11, 86.19, 92.05, 80.33)","(94.99, 87.51, 91.48, 83.53)"
