model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(87.45, 78.33, 92.77, 63.89)","(95.47, 87.62, 92.3, 82.95)","(99.76, 96.19, 93.18, 99.2)","(99.7, 96.05, 93.09, 99.01)","(72.48, 59.93, 92.33, 27.53)","(74.48, 61.62, 92.63, 30.62)","(99.5, 95.67, 93.13, 98.2)","(77.49, 64.75, 93.05, 36.45)","(80.75, 64.83, 92.48, 37.18)"
drct-clip-vit-l-14,"(66.37, 58.51, 31.74, 85.27)","(68.06, 60.82, 31.68, 89.95)","(80.44, 64.32, 31.52, 97.13)","(79.62, 64.2, 31.36, 97.04)","(55.97, 53.29, 31.32, 75.27)","(45.52, 45.86, 30.85, 60.87)","(81.49, 63.92, 31.7, 96.15)","(62.74, 57.1, 32.52, 81.68)","(57.09, 58.55, 33.0, 84.1)"
