model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(98.32, 82.08, 99.78, 64.39)","(99.72, 94.62, 99.78, 89.47)","(100.0, 99.88, 99.77, 100.0)","(99.99, 99.82, 99.76, 99.89)","(94.48, 61.8, 99.77, 23.83)","(97.34, 65.91, 99.7, 32.12)","(100.0, 99.91, 99.83, 99.98)","(97.0, 74.88, 99.8, 49.97)","(98.05, 59.82, 99.82, 19.82)"
drct-clip-vit-l-14,"(95.76, 89.48, 89.72, 89.23)","(97.03, 91.5, 89.78, 93.22)","(99.65, 95.0, 90.3, 99.7)","(99.49, 94.41, 89.32, 99.5)","(88.96, 79.42, 90.23, 68.6)","(94.64, 89.18, 89.37, 89.0)","(99.37, 94.66, 90.07, 99.25)","(96.54, 90.02, 88.9, 91.15)","(90.44, 81.63, 89.82, 73.45)"
