model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(87.54, 78.43, 92.56, 64.31)","(95.64, 87.97, 92.6, 83.33)","(99.77, 96.18, 92.87, 99.5)","(99.71, 95.89, 92.69, 99.09)","(72.68, 59.72, 92.22, 27.23)","(73.94, 61.36, 92.48, 30.23)","(99.51, 95.27, 92.22, 98.32)","(77.92, 65.27, 92.7, 37.83)","(81.17, 65.79, 92.67, 38.92)"
drct-clip-vit-l-14,"(66.72, 59.09, 33.7, 84.47)","(68.33, 61.63, 33.67, 89.6)","(80.32, 65.15, 33.42, 96.88)","(80.41, 64.94, 33.22, 96.65)","(56.0, 53.12, 33.38, 72.85)","(46.34, 46.69, 33.0, 60.38)","(81.07, 64.47, 33.53, 95.4)","(63.08, 57.69, 34.83, 80.55)","(58.22, 59.0, 34.53, 83.47)"
