model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(83.82, 70.96, 98.46, 43.45)","(91.6, 65.87, 98.37, 33.37)","(99.8, 97.42, 98.33, 96.5)","(99.77, 97.31, 98.41, 96.2)","(60.38, 50.4, 98.37, 2.43)","(74.57, 52.05, 98.18, 5.92)","(99.75, 97.31, 98.92, 95.7)","(77.51, 56.68, 98.68, 14.67)","(67.17, 50.63, 98.45, 2.82)"
drct-clip-vit-l-14,"(77.65, 70.83, 83.72, 57.93)","(86.06, 78.37, 83.58, 73.17)","(87.53, 79.72, 83.32, 76.13)","(87.52, 79.83, 83.88, 75.79)","(64.61, 59.28, 83.58, 34.98)","(76.07, 69.71, 83.52, 55.9)","(85.5, 77.73, 84.28, 71.18)","(64.26, 58.55, 83.5, 33.6)","(69.62, 63.42, 84.12, 42.72)"
