model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(97.88, 82.47, 99.52, 65.41)","(98.63, 89.44, 99.5, 79.38)","(100.0, 99.65, 99.32, 99.98)","(99.98, 99.68, 99.48, 99.88)","(94.23, 62.29, 99.58, 25.0)","(96.83, 67.27, 99.52, 35.02)","(100.0, 99.77, 99.63, 99.9)","(96.93, 80.44, 99.6, 61.28)","(96.44, 61.22, 99.57, 22.87)"
drct-clip-vit-l-14,"(93.04, 85.84, 89.69, 82.0)","(94.99, 88.02, 89.85, 86.18)","(97.33, 91.82, 89.9, 93.73)","(96.81, 91.51, 89.4, 93.62)","(86.58, 76.93, 89.57, 64.3)","(95.15, 89.42, 89.53, 89.3)","(95.73, 89.94, 89.85, 90.03)","(91.54, 83.02, 89.53, 76.5)","(86.2, 76.09, 89.88, 62.3)"
