model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(89.55, 74.03, 99.09, 48.97)","(96.87, 76.64, 99.05, 54.23)","(99.98, 99.35, 99.03, 99.67)","(99.96, 99.32, 99.18, 99.48)","(71.56, 51.72, 98.98, 4.45)","(84.01, 54.15, 98.93, 9.37)","(99.97, 99.15, 99.27, 99.03)","(85.17, 59.98, 99.13, 20.82)","(78.86, 51.91, 99.13, 4.68)"
drct-clip-vit-l-14,"(84.28, 77.0, 82.1, 71.9)","(88.82, 80.9, 81.95, 79.85)","(93.78, 86.26, 81.78, 90.73)","(93.44, 86.29, 82.45, 90.12)","(73.87, 66.25, 81.35, 51.15)","(84.24, 76.76, 82.03, 71.48)","(90.87, 83.41, 83.05, 83.77)","(73.2, 66.0, 81.53, 50.47)","(76.02, 70.11, 82.62, 57.6)"
