model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(82.45, 69.29, 98.66, 39.92)","(89.17, 61.36, 98.72, 24.0)","(99.54, 95.48, 98.78, 92.18)","(99.45, 95.21, 98.49, 91.94)","(58.88, 50.09, 98.5, 1.68)","(72.3, 51.47, 98.53, 4.4)","(99.5, 95.13, 98.92, 91.35)","(74.94, 54.99, 98.5, 11.48)","(65.84, 50.58, 98.82, 2.33)"
drct-clip-vit-l-14,"(75.92, 69.01, 83.8, 54.21)","(85.48, 77.22, 83.58, 70.85)","(85.88, 77.78, 83.57, 71.98)","(85.71, 77.83, 84.0, 71.66)","(62.79, 57.93, 83.63, 32.23)","(74.64, 67.84, 83.52, 52.17)","(83.7, 75.88, 84.25, 67.52)","(62.89, 57.22, 84.23, 30.22)","(66.27, 60.37, 83.65, 37.08)"
