model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",progan,cyclegan,biggan,stylegan,gaugan,stargan,deepfake,seeingdark,san,crn,imle,guided,ldm_200,ldm_200_cfg,ldm_100,glide_100_27,glide_50_27,glide_100_10,dalle
clip-resnet50,"(56.57, 56.67, 43.84, 69.51)","(46.7, 52.96, 16.35, 89.58)","(48.77, 54.09, 28.69, 79.49)","(54.16, 55.68, 43.0, 68.35)","(44.43, 50.2, 15.56, 84.84)","(39.45, 38.82, 44.98, 32.66)","(73.55, 62.61, 32.22, 93.0)","(53.53, 50.21, 5.54, 95.03)","(73.01, 69.17, 77.22, 61.11)","(58.18, 58.45, 24.66, 92.24)","(38.38, 39.63, 69.34, 9.93)","(37.66, 39.31, 69.34, 9.29)","(62.97, 60.9, 64.4, 57.4)","(57.3, 59.95, 48.8, 71.1)","(72.36, 67.45, 48.8, 86.1)","(56.27, 58.7, 48.8, 68.6)","(60.83, 63.1, 48.8, 77.4)","(59.09, 62.05, 48.8, 75.3)","(63.04, 64.6, 48.8, 80.4)","(75.23, 68.85, 48.8, 88.9)"
clip-vit-l-14,"(63.36, 61.96, 58.13, 65.78)","(57.6, 64.2, 42.9, 85.5)","(61.63, 62.34, 58.29, 66.39)","(77.47, 73.25, 78.65, 67.85)","(61.9, 61.32, 54.65, 67.99)","(65.55, 59.72, 84.24, 35.2)","(52.45, 57.83, 40.12, 75.54)","(68.09, 61.17, 85.22, 37.03)","(79.76, 70.56, 65.0, 76.11)","(83.7, 76.26, 63.93, 88.58)","(68.83, 65.94, 65.36, 66.52)","(41.91, 42.44, 65.36, 19.52)","(63.2, 58.2, 86.5, 29.9)","(54.56, 57.6, 44.9, 70.3)","(62.24, 59.8, 44.9, 74.7)","(53.95, 56.25, 44.9, 67.6)","(61.61, 61.3, 44.9, 77.7)","(61.22, 61.5, 44.9, 78.1)","(62.79, 62.85, 44.9, 80.8)","(65.38, 64.7, 44.9, 84.5)"
