model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(84.88, 74.57, 65.02, 84.12)","(99.3, 82.39, 65.02, 99.76)","(98.93, 82.29, 65.02, 99.56)","(98.86, 82.24, 65.02, 99.46)","(97.89, 81.84, 65.02, 98.66)","(86.15, 78.07, 65.02, 91.12)","(87.75, 75.75, 65.02, 86.48)","(88.7, 78.43, 65.02, 91.84)","(85.48, 76.46, 65.02, 87.9)","(95.13, 80.2, 65.02, 95.38)","(78.31, 71.45, 65.02, 77.88)","(94.15, 80.74, 65.02, 96.46)","(84.99, 74.96, 65.02, 84.9)","(88.94, 74.75, 65.02, 84.48)","(65.32, 64.56, 65.02, 64.1)","(55.4, 55.85, 65.02, 46.68)","(52.75, 53.17, 65.02, 41.32)"
tres,"(84.59, 77.89, 74.66, 81.11)","(99.52, 87.23, 74.66, 99.8)","(98.92, 87.19, 74.66, 99.72)","(98.84, 87.18, 74.66, 99.7)","(98.13, 86.91, 74.66, 99.16)","(85.31, 79.58, 74.66, 84.5)","(83.28, 78.87, 74.66, 83.08)","(84.86, 79.38, 74.66, 84.1)","(83.6, 78.71, 74.66, 82.76)","(95.2, 85.63, 74.66, 96.6)","(79.5, 75.57, 74.66, 76.48)","(96.1, 86.22, 74.66, 97.78)","(87.13, 80.76, 74.66, 86.86)","(93.31, 83.94, 74.66, 93.22)","(65.42, 64.14, 74.66, 53.62)","(52.73, 52.89, 74.66, 31.12)","(51.55, 51.97, 74.66, 29.28)"
contrique,"(98.03, 91.23, 97.8, 84.67)","(99.9, 98.62, 97.8, 99.44)","(99.87, 98.57, 97.8, 99.34)","(99.86, 98.6, 97.8, 99.4)","(99.71, 97.72, 97.8, 97.64)","(98.57, 93.61, 97.8, 89.42)","(97.75, 87.06, 97.8, 76.32)","(98.22, 90.96, 97.8, 84.12)","(98.66, 93.51, 97.8, 89.22)","(99.52, 96.6, 97.8, 95.4)","(97.67, 87.7, 97.8, 77.6)","(98.66, 92.11, 97.8, 86.42)","(98.05, 89.07, 97.8, 80.34)","(97.93, 85.79, 97.8, 73.78)","(99.75, 97.78, 97.8, 97.76)","(89.95, 71.49, 97.8, 45.18)","(94.39, 80.56, 97.8, 63.32)"
reiqa,"(92.78, 83.31, 93.44, 73.18)","(99.78, 96.45, 93.44, 99.46)","(99.72, 96.23, 93.44, 99.02)","(99.67, 96.12, 93.44, 98.8)","(98.76, 93.8, 93.44, 94.16)","(91.43, 77.52, 93.44, 61.6)","(87.74, 72.41, 93.44, 51.38)","(92.54, 80.3, 93.44, 67.16)","(88.98, 73.88, 93.44, 54.32)","(97.7, 91.53, 93.44, 89.62)","(93.57, 82.47, 93.44, 71.5)","(98.78, 94.3, 93.44, 95.16)","(91.83, 78.91, 93.44, 64.38)","(92.93, 80.11, 93.44, 66.78)","(98.7, 94.02, 93.44, 94.6)","(82.66, 67.67, 93.44, 41.9)","(69.61, 57.26, 93.44, 21.08)"
arniqa,"(88.19, 79.59, 74.46, 84.72)","(99.91, 87.21, 74.46, 99.96)","(99.54, 87.1, 74.46, 99.74)","(99.48, 87.03, 74.46, 99.6)","(99.0, 86.93, 74.46, 99.4)","(87.62, 80.61, 74.46, 86.76)","(90.89, 82.78, 74.46, 91.1)","(88.0, 80.73, 74.46, 87.0)","(89.3, 81.57, 74.46, 88.68)","(95.04, 84.12, 74.46, 93.78)","(79.54, 72.42, 74.46, 70.38)","(96.41, 86.3, 74.46, 98.14)","(86.62, 79.46, 74.46, 84.46)","(90.73, 80.67, 74.46, 86.88)","(88.37, 80.76, 74.46, 87.06)","(68.25, 64.32, 74.46, 54.18)","(52.3, 51.44, 74.46, 28.42)"
