model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(76.6, 59.62, 25.78, 93.45)","(96.62, 62.79, 25.78, 99.8)","(96.24, 62.69, 25.78, 99.6)","(95.89, 62.75, 25.78, 99.72)","(93.57, 62.46, 25.78, 99.14)","(71.25, 60.79, 25.78, 95.8)","(73.54, 59.46, 25.78, 93.14)","(74.76, 60.56, 25.78, 95.34)","(70.69, 59.97, 25.78, 94.16)","(91.55, 62.3, 25.78, 98.82)","(65.24, 59.72, 25.78, 93.66)","(85.45, 61.86, 25.78, 97.94)","(73.22, 59.84, 25.78, 93.9)","(79.54, 58.32, 25.78, 90.86)","(58.7, 57.24, 25.78, 88.7)","(50.65, 52.82, 25.78, 79.86)","(48.63, 50.29, 25.78, 74.8)"
tres,"(76.63, 58.76, 24.16, 93.35)","(97.37, 61.99, 24.16, 99.82)","(95.74, 62.02, 24.16, 99.88)","(95.52, 62.04, 24.16, 99.92)","(92.69, 61.76, 24.16, 99.36)","(69.13, 58.16, 24.16, 92.16)","(71.44, 59.15, 24.16, 94.14)","(68.75, 57.74, 24.16, 91.32)","(68.15, 58.12, 24.16, 92.08)","(90.57, 61.62, 24.16, 99.08)","(66.57, 57.43, 24.16, 90.7)","(88.21, 61.59, 24.16, 99.02)","(74.77, 59.47, 24.16, 94.78)","(84.2, 60.04, 24.16, 95.92)","(61.28, 56.9, 24.16, 89.64)","(51.51, 51.36, 24.16, 78.56)","(50.17, 50.7, 24.16, 77.24)"
contrique,"(76.56, 68.49, 57.14, 79.83)","(98.54, 78.41, 57.14, 99.68)","(97.17, 78.22, 57.14, 99.3)","(96.92, 78.22, 57.14, 99.3)","(95.82, 77.93, 57.14, 98.72)","(73.26, 70.13, 57.14, 83.12)","(73.48, 69.32, 57.14, 81.5)","(70.23, 67.66, 57.14, 78.18)","(74.97, 70.68, 57.14, 84.22)","(92.2, 76.64, 57.14, 96.14)","(70.63, 68.96, 57.14, 80.78)","(81.77, 72.12, 57.14, 87.1)","(72.29, 68.21, 57.14, 79.28)","(74.98, 65.46, 57.14, 73.78)","(55.4, 55.75, 57.14, 54.36)","(51.45, 51.72, 57.14, 46.3)","(45.81, 46.36, 57.14, 35.58)"
reiqa,"(81.44, 73.32, 74.94, 71.69)","(98.01, 86.55, 74.94, 98.16)","(97.93, 86.34, 74.94, 97.74)","(97.69, 86.26, 74.94, 97.58)","(94.68, 83.68, 74.94, 92.42)","(79.86, 71.55, 74.94, 68.16)","(72.55, 65.41, 74.94, 55.88)","(75.79, 68.15, 74.94, 61.36)","(73.06, 65.49, 74.94, 56.04)","(93.15, 82.41, 74.94, 89.88)","(82.49, 75.93, 74.94, 76.92)","(92.28, 83.11, 74.94, 91.28)","(77.9, 70.01, 74.94, 65.08)","(83.27, 72.24, 74.94, 69.54)","(76.34, 70.67, 74.94, 66.4)","(58.08, 55.71, 74.94, 36.48)","(49.92, 49.56, 74.94, 24.18)"
arniqa,"(79.72, 62.71, 33.06, 92.36)","(99.25, 66.53, 33.06, 100.0)","(98.26, 66.46, 33.06, 99.86)","(98.03, 66.5, 33.06, 99.94)","(96.6, 66.43, 33.06, 99.8)","(79.12, 65.27, 33.06, 97.48)","(77.03, 63.37, 33.06, 93.68)","(76.73, 64.5, 33.06, 95.94)","(77.62, 64.14, 33.06, 95.22)","(91.61, 65.48, 33.06, 97.9)","(74.24, 63.95, 33.06, 94.84)","(89.52, 66.0, 33.06, 98.94)","(75.77, 62.39, 33.06, 91.72)","(83.68, 63.35, 33.06, 93.64)","(59.45, 58.71, 33.06, 84.36)","(48.67, 49.56, 33.06, 66.06)","(49.97, 50.73, 33.06, 68.4)"
