model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(72.17, 55.89, 15.53, 96.26)","(89.48, 57.53, 15.66, 99.4)","(91.63, 57.57, 15.42, 99.72)","(91.19, 57.48, 15.38, 99.58)","(88.18, 57.51, 15.64, 99.38)","(63.9, 56.51, 15.12, 97.9)","(66.06, 54.91, 15.8, 94.02)","(63.74, 56.5, 15.8, 97.2)","(65.42, 56.44, 15.24, 97.64)","(90.4, 57.35, 15.38, 99.32)","(65.42, 56.88, 15.54, 98.22)","(78.09, 57.21, 15.34, 99.08)","(68.55, 56.77, 15.84, 97.7)","(78.52, 55.63, 15.72, 95.54)","(55.03, 53.94, 15.24, 92.64)","(49.43, 51.31, 15.72, 86.9)","(49.68, 50.75, 15.64, 85.86)"
tres,"(72.98, 60.75, 31.83, 89.67)","(92.27, 65.27, 31.7, 98.84)","(92.39, 65.58, 32.04, 99.12)","(92.23, 65.67, 31.94, 99.4)","(88.76, 65.44, 31.9, 98.98)","(65.8, 60.27, 32.04, 88.5)","(62.75, 60.21, 32.32, 88.1)","(64.41, 59.18, 31.32, 87.04)","(65.64, 60.82, 31.4, 90.24)","(89.83, 65.25, 31.66, 98.84)","(64.39, 59.46, 31.76, 87.16)","(81.82, 64.18, 32.1, 96.26)","(69.02, 61.22, 31.8, 90.64)","(79.03, 61.27, 31.88, 90.66)","(57.87, 55.83, 31.7, 79.96)","(50.74, 51.35, 31.92, 70.78)","(50.8, 50.99, 31.74, 70.24)"
contrique,"(84.7, 62.32, 28.77, 95.87)","(98.67, 64.24, 28.48, 100.0)","(97.8, 64.26, 28.54, 99.98)","(97.74, 64.3, 28.6, 100.0)","(97.16, 63.84, 27.68, 100.0)","(89.23, 64.23, 28.54, 99.92)","(84.26, 63.95, 29.38, 98.52)","(84.24, 64.68, 29.58, 99.78)","(89.1, 64.61, 29.38, 99.84)","(96.39, 63.95, 28.0, 99.9)","(87.89, 64.9, 30.02, 99.78)","(92.34, 64.24, 28.56, 99.92)","(87.67, 64.01, 28.14, 99.88)","(92.05, 64.33, 28.78, 99.88)","(56.94, 57.1, 29.22, 84.98)","(52.72, 52.57, 28.38, 76.76)","(51.04, 51.9, 29.08, 74.72)"
reiqa,"(89.48, 80.62, 76.36, 84.88)","(99.21, 88.11, 76.5, 99.72)","(99.54, 88.19, 76.56, 99.82)","(99.45, 88.06, 76.32, 99.8)","(98.15, 87.18, 76.02, 98.34)","(89.87, 81.18, 76.72, 85.64)","(81.76, 73.24, 75.72, 70.76)","(90.19, 81.96, 76.1, 87.82)","(86.36, 78.14, 76.36, 79.92)","(97.38, 86.93, 76.38, 97.48)","(91.67, 83.67, 76.52, 90.82)","(98.33, 87.81, 76.26, 99.36)","(90.31, 82.42, 76.32, 88.52)","(90.99, 82.44, 76.8, 88.08)","(92.81, 84.2, 76.82, 91.58)","(69.57, 62.97, 76.44, 49.5)","(56.16, 53.5, 76.0, 31.0)"
arniqa,"(84.57, 72.49, 53.92, 91.06)","(99.43, 76.96, 53.96, 99.96)","(98.37, 77.36, 54.8, 99.92)","(98.25, 77.03, 54.16, 99.9)","(97.15, 76.63, 53.6, 99.66)","(86.16, 76.39, 54.08, 98.7)","(75.73, 73.17, 54.0, 92.34)","(86.6, 75.91, 53.54, 98.28)","(85.79, 75.51, 53.7, 97.32)","(95.3, 76.25, 53.22, 99.28)","(85.62, 76.59, 54.18, 99.0)","(96.22, 76.98, 54.32, 99.64)","(89.84, 76.06, 53.84, 98.28)","(91.09, 75.9, 53.52, 98.28)","(63.93, 64.25, 53.86, 74.64)","(52.24, 53.17, 54.1, 52.24)","(51.35, 51.69, 53.78, 49.6)"
