model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(75.1, 61.04, 34.12, 87.96)","(97.77, 66.92, 34.12, 99.72)","(96.26, 66.78, 34.12, 99.44)","(96.0, 66.68, 34.12, 99.24)","(93.73, 66.22, 34.12, 98.32)","(66.37, 61.55, 34.12, 88.98)","(72.51, 59.87, 34.12, 85.62)","(71.9, 62.18, 34.12, 90.24)","(66.11, 59.81, 34.12, 85.5)","(87.27, 64.15, 34.12, 94.18)","(58.0, 54.22, 34.12, 74.32)","(83.83, 64.48, 34.12, 94.84)","(67.39, 58.57, 34.12, 83.02)","(78.44, 58.38, 34.12, 82.64)","(62.6, 60.23, 34.12, 86.34)","(52.84, 54.73, 34.12, 75.34)","(50.63, 51.88, 34.12, 69.64)"
tres,"(76.15, 63.74, 40.0, 87.49)","(98.52, 69.95, 40.0, 99.9)","(96.36, 69.84, 40.0, 99.68)","(96.08, 69.87, 40.0, 99.74)","(94.28, 69.57, 40.0, 99.14)","(66.85, 61.11, 40.0, 82.22)","(69.36, 63.49, 40.0, 86.98)","(66.96, 61.55, 40.0, 83.1)","(64.75, 60.81, 40.0, 81.62)","(87.7, 68.29, 40.0, 96.58)","(61.2, 58.21, 40.0, 76.42)","(88.9, 68.84, 40.0, 97.68)","(71.76, 63.45, 40.0, 86.9)","(85.56, 66.92, 40.0, 93.84)","(65.34, 61.9, 40.0, 83.8)","(53.06, 53.71, 40.0, 67.42)","(51.66, 52.38, 40.0, 64.76)"
contrique,"(74.55, 66.18, 52.78, 79.58)","(97.62, 76.13, 52.78, 99.48)","(96.59, 75.93, 52.78, 99.08)","(96.34, 75.92, 52.78, 99.06)","(94.26, 74.98, 52.78, 97.18)","(71.05, 68.46, 52.78, 84.14)","(69.56, 64.81, 52.78, 76.84)","(68.78, 65.75, 52.78, 78.72)","(74.11, 68.95, 52.78, 85.12)","(89.81, 72.98, 52.78, 93.18)","(63.81, 63.05, 52.78, 73.32)","(75.1, 67.06, 52.78, 81.34)","(67.18, 63.12, 52.78, 73.46)","(70.1, 60.55, 52.78, 68.32)","(58.59, 59.43, 52.78, 66.08)","(53.07, 53.96, 52.78, 55.14)","(46.91, 47.82, 52.78, 42.86)"
reiqa,"(82.38, 74.02, 77.0, 71.04)","(99.14, 88.18, 77.0, 99.36)","(98.71, 87.78, 77.0, 98.56)","(98.55, 87.65, 77.0, 98.3)","(95.54, 85.01, 77.0, 93.02)","(74.88, 66.33, 77.0, 55.66)","(72.9, 65.81, 77.0, 54.62)","(78.7, 70.12, 77.0, 63.24)","(71.54, 63.85, 77.0, 50.7)","(92.82, 82.62, 77.0, 88.24)","(78.22, 70.55, 77.0, 64.1)","(94.87, 85.5, 77.0, 94.0)","(77.96, 69.64, 77.0, 62.28)","(81.44, 70.86, 77.0, 64.72)","(85.77, 78.61, 77.0, 80.22)","(63.91, 59.81, 77.0, 42.62)","(53.12, 51.99, 77.0, 26.98)"
arniqa,"(77.5, 66.02, 49.22, 82.82)","(99.7, 74.59, 49.22, 99.96)","(97.92, 74.34, 49.22, 99.46)","(97.71, 74.24, 49.22, 99.26)","(96.5, 73.91, 49.22, 98.6)","(67.41, 62.02, 49.22, 74.82)","(80.41, 69.89, 49.22, 90.56)","(70.52, 63.48, 49.22, 77.74)","(71.98, 64.61, 49.22, 80.0)","(86.25, 68.98, 49.22, 88.74)","(59.56, 54.65, 49.22, 60.08)","(88.04, 71.93, 49.22, 94.64)","(67.96, 61.52, 49.22, 73.82)","(80.57, 66.05, 49.22, 82.88)","(67.23, 65.8, 49.22, 82.38)","(53.65, 54.86, 49.22, 60.5)","(54.6, 55.46, 49.22, 61.7)"
