model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(70.53, 57.43, 28.02, 86.84)","(97.0, 63.86, 28.02, 99.7)","(94.47, 63.52, 28.02, 99.02)","(94.04, 63.47, 28.02, 98.92)","(91.16, 62.97, 28.02, 97.92)","(56.34, 55.66, 28.02, 83.3)","(63.06, 55.09, 28.02, 82.16)","(63.03, 57.38, 28.02, 86.74)","(59.36, 56.03, 28.02, 84.04)","(84.27, 60.75, 28.02, 93.48)","(50.77, 48.43, 28.02, 68.84)","(77.34, 59.6, 28.02, 91.18)","(61.34, 54.13, 28.02, 80.24)","(75.11, 55.1, 28.02, 82.18)","(60.24, 58.2, 28.02, 88.38)","(51.6, 53.6, 28.02, 79.18)","(49.37, 51.11, 28.02, 74.2)"
tres,"(72.98, 59.05, 28.5, 89.59)","(97.66, 64.2, 28.5, 99.9)","(94.43, 64.09, 28.5, 99.68)","(94.06, 64.16, 28.5, 99.82)","(91.69, 63.87, 28.5, 99.24)","(57.94, 54.43, 28.5, 80.36)","(67.39, 59.57, 28.5, 90.64)","(60.74, 56.17, 28.5, 83.84)","(60.08, 55.91, 28.5, 83.32)","(85.66, 62.81, 28.5, 97.12)","(56.92, 53.66, 28.5, 78.82)","(84.15, 63.0, 28.5, 97.5)","(67.07, 58.64, 28.5, 88.78)","(83.61, 62.01, 28.5, 95.52)","(63.06, 58.48, 28.5, 88.46)","(52.35, 52.52, 28.5, 76.54)","(50.91, 51.23, 28.5, 73.96)"
contrique,"(65.45, 59.03, 55.5, 62.55)","(97.31, 77.32, 55.5, 99.14)","(92.56, 75.52, 55.5, 95.54)","(92.05, 75.67, 55.5, 95.84)","(90.14, 74.26, 55.5, 93.02)","(51.58, 51.0, 55.5, 46.5)","(54.73, 53.42, 55.5, 51.34)","(49.78, 49.4, 55.5, 43.3)","(56.46, 54.64, 55.5, 53.78)","(82.53, 69.02, 55.5, 82.54)","(50.36, 50.09, 55.5, 44.68)","(62.46, 57.34, 55.5, 59.18)","(52.01, 49.68, 55.5, 43.86)","(60.47, 50.85, 55.5, 46.2)","(56.61, 57.08, 55.5, 58.66)","(51.87, 52.54, 55.5, 49.58)","(46.2, 46.6, 55.5, 37.7)"
reiqa,"(76.09, 68.86, 74.7, 63.01)","(98.21, 86.44, 74.7, 98.18)","(96.67, 85.32, 74.7, 95.94)","(96.24, 84.81, 74.7, 94.92)","(92.27, 80.86, 74.7, 87.02)","(64.65, 59.52, 74.7, 44.34)","(62.89, 57.99, 74.7, 41.28)","(63.12, 58.17, 74.7, 41.64)","(59.93, 55.63, 74.7, 36.56)","(88.19, 77.71, 74.7, 80.72)","(70.68, 65.87, 74.7, 57.04)","(87.25, 78.38, 74.7, 82.06)","(69.76, 63.21, 74.7, 51.72)","(78.37, 67.25, 74.7, 59.8)","(79.13, 73.7, 74.7, 72.7)","(59.41, 56.61, 74.7, 38.52)","(50.59, 50.23, 74.7, 25.76)"
arniqa,"(65.07, 54.96, 37.98, 71.95)","(99.29, 68.97, 37.98, 99.96)","(91.99, 67.6, 37.98, 97.22)","(91.25, 67.51, 37.98, 97.04)","(89.16, 66.07, 37.98, 94.16)","(41.91, 38.88, 37.98, 39.78)","(62.13, 58.18, 37.98, 78.38)","(45.42, 42.75, 37.98, 47.52)","(46.28, 43.05, 37.98, 48.12)","(71.36, 57.79, 37.98, 77.6)","(43.21, 40.12, 37.98, 42.26)","(75.3, 61.65, 37.98, 85.32)","(50.9, 45.99, 37.98, 54.0)","(70.77, 56.26, 37.98, 74.54)","(61.22, 60.64, 37.98, 83.3)","(49.74, 51.32, 37.98, 64.66)","(51.26, 52.66, 37.98, 67.34)"
