model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(72.26, 55.78, 15.06, 96.49)","(88.65, 57.37, 15.22, 99.52)","(91.1, 57.55, 15.34, 99.76)","(90.95, 57.4, 15.16, 99.64)","(87.69, 57.35, 15.06, 99.64)","(64.89, 56.68, 14.8, 98.56)","(66.08, 55.03, 15.2, 94.86)","(64.45, 56.03, 14.56, 97.5)","(66.17, 56.73, 15.56, 97.9)","(90.67, 57.22, 15.12, 99.32)","(66.6, 56.65, 14.92, 98.38)","(77.91, 56.85, 14.58, 99.12)","(68.8, 56.51, 14.98, 98.04)","(78.78, 55.37, 15.12, 95.62)","(54.27, 53.98, 15.22, 92.74)","(49.7, 51.15, 14.94, 87.36)","(49.41, 50.53, 15.18, 85.88)"
tres,"(72.63, 60.74, 32.23, 89.25)","(91.19, 65.75, 32.8, 98.7)","(91.96, 65.57, 31.98, 99.16)","(91.7, 65.7, 32.14, 99.26)","(88.35, 65.17, 31.7, 98.64)","(65.51, 60.2, 32.5, 87.9)","(62.72, 60.01, 32.48, 87.54)","(64.03, 59.43, 31.76, 87.1)","(65.56, 61.46, 32.96, 89.96)","(89.5, 65.62, 32.66, 98.58)","(64.47, 59.32, 31.62, 87.02)","(80.45, 63.91, 32.24, 95.58)","(69.16, 61.22, 32.02, 90.42)","(79.14, 61.39, 32.2, 90.58)","(57.09, 55.33, 32.16, 78.5)","(50.87, 51.03, 32.2, 69.86)","(50.36, 50.76, 32.3, 69.22)"
contrique,"(83.76, 66.55, 39.56, 93.54)","(97.84, 69.74, 39.5, 99.98)","(96.02, 69.47, 39.02, 99.92)","(96.21, 69.97, 40.02, 99.92)","(95.89, 70.14, 40.38, 99.9)","(88.3, 69.43, 39.18, 99.68)","(84.33, 67.89, 39.58, 96.2)","(82.24, 69.49, 39.76, 99.22)","(89.22, 69.34, 39.0, 99.68)","(94.8, 69.74, 39.66, 99.82)","(88.12, 69.19, 38.94, 99.44)","(87.48, 69.36, 39.48, 99.24)","(85.87, 69.39, 39.76, 99.02)","(90.42, 69.06, 38.54, 99.58)","(57.1, 56.18, 39.3, 73.06)","(54.94, 54.45, 40.6, 68.3)","(51.44, 51.99, 40.28, 63.7)"
reiqa,"(88.51, 80.11, 79.6, 80.61)","(98.58, 89.27, 79.52, 99.02)","(99.1, 89.27, 79.26, 99.28)","(99.08, 89.29, 79.4, 99.18)","(97.36, 87.87, 79.82, 95.92)","(88.79, 79.7, 79.08, 80.32)","(80.04, 71.11, 79.48, 62.74)","(88.53, 80.44, 79.52, 81.36)","(86.23, 77.77, 79.66, 75.88)","(96.65, 87.43, 79.74, 95.12)","(91.4, 84.01, 79.96, 88.06)","(96.91, 88.41, 79.76, 97.06)","(88.22, 80.08, 79.58, 80.58)","(90.14, 81.13, 79.84, 82.42)","(90.99, 82.47, 79.54, 85.4)","(68.95, 61.74, 79.72, 43.76)","(55.12, 51.76, 79.8, 23.72)"
arniqa,"(84.13, 74.9, 61.98, 87.82)","(99.18, 81.07, 62.3, 99.84)","(97.79, 80.84, 62.3, 99.38)","(97.54, 80.89, 62.36, 99.42)","(96.65, 80.32, 61.58, 99.06)","(86.02, 79.52, 62.36, 96.68)","(77.47, 74.98, 61.98, 87.98)","(85.51, 78.95, 62.32, 95.58)","(86.27, 78.64, 61.68, 95.6)","(94.46, 80.05, 61.94, 98.16)","(86.39, 79.78, 62.02, 97.54)","(93.23, 79.81, 61.58, 98.04)","(88.83, 78.34, 61.7, 94.98)","(90.69, 78.98, 61.92, 96.04)","(62.56, 61.78, 62.0, 61.56)","(53.08, 53.76, 61.74, 45.78)","(50.4, 50.68, 61.92, 39.44)"
