model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(72.08, 55.8, 15.18, 96.43)","(88.72, 56.96, 14.46, 99.46)","(90.97, 57.57, 15.44, 99.7)","(90.94, 57.31, 15.0, 99.62)","(87.35, 57.6, 15.7, 99.5)","(64.52, 56.94, 15.36, 98.52)","(65.9, 54.95, 15.5, 94.4)","(64.44, 56.35, 15.42, 97.28)","(65.95, 56.38, 15.16, 97.6)","(90.73, 57.12, 14.78, 99.46)","(65.89, 56.73, 15.14, 98.32)","(77.44, 57.28, 15.42, 99.14)","(68.18, 56.36, 14.98, 97.74)","(78.64, 55.03, 14.44, 95.62)","(54.53, 54.06, 15.44, 92.68)","(49.81, 51.32, 15.26, 87.38)","(49.25, 50.9, 15.34, 86.46)"
tres,"(72.66, 60.74, 32.15, 89.34)","(91.63, 65.17, 31.74, 98.6)","(91.92, 65.33, 31.56, 99.1)","(92.08, 65.79, 32.44, 99.14)","(88.48, 65.56, 32.32, 98.8)","(65.18, 60.22, 32.14, 88.3)","(62.56, 59.81, 32.26, 87.36)","(64.31, 59.63, 32.28, 86.98)","(65.61, 61.05, 31.96, 90.14)","(89.33, 65.46, 32.32, 98.6)","(64.14, 59.36, 31.72, 87.0)","(80.7, 64.02, 32.32, 95.72)","(68.67, 61.6, 32.78, 90.42)","(79.09, 61.2, 32.1, 90.3)","(57.2, 55.59, 31.96, 79.22)","(51.0, 51.16, 32.22, 70.1)","(50.62, 50.92, 32.24, 69.6)"
contrique,"(84.57, 66.09, 38.31, 93.88)","(98.14, 69.13, 38.28, 99.98)","(96.5, 69.04, 38.16, 99.92)","(96.66, 69.07, 38.16, 99.98)","(96.38, 68.72, 37.5, 99.94)","(89.61, 68.9, 37.98, 99.82)","(85.8, 67.33, 37.52, 97.14)","(84.06, 68.71, 38.02, 99.4)","(89.7, 69.18, 38.64, 99.72)","(95.57, 69.15, 38.48, 99.82)","(89.04, 69.13, 38.72, 99.54)","(88.64, 68.74, 38.02, 99.46)","(87.56, 68.92, 38.62, 99.22)","(91.97, 69.26, 38.8, 99.72)","(57.76, 57.1, 38.92, 75.28)","(54.31, 54.25, 39.56, 68.94)","(51.49, 50.88, 37.6, 64.16)"
reiqa,"(88.75, 80.22, 78.54, 81.89)","(98.76, 89.08, 79.0, 99.16)","(99.24, 88.98, 78.72, 99.24)","(99.2, 88.94, 78.46, 99.42)","(97.78, 87.76, 78.52, 97.0)","(89.15, 80.13, 78.64, 81.62)","(80.17, 71.42, 78.56, 64.28)","(89.15, 80.99, 78.8, 83.18)","(86.21, 77.86, 78.26, 77.46)","(96.96, 87.25, 78.48, 96.02)","(91.51, 83.76, 78.56, 88.96)","(97.24, 88.18, 78.3, 98.06)","(88.58, 80.73, 78.74, 82.72)","(90.16, 81.2, 78.54, 83.86)","(91.48, 82.94, 78.14, 87.74)","(68.96, 62.03, 78.4, 45.66)","(55.39, 52.21, 78.5, 25.92)"
arniqa,"(84.15, 74.37, 59.84, 88.91)","(99.2, 79.89, 59.9, 99.88)","(97.91, 79.74, 59.84, 99.64)","(97.89, 79.58, 59.48, 99.68)","(96.68, 79.45, 59.54, 99.36)","(86.66, 78.6, 59.5, 97.7)","(76.15, 74.79, 59.88, 89.7)","(85.3, 78.05, 59.92, 96.18)","(85.88, 77.85, 59.86, 95.84)","(94.75, 79.04, 59.92, 98.16)","(85.7, 79.25, 60.02, 98.48)","(94.23, 79.74, 60.52, 98.96)","(88.62, 77.55, 58.72, 96.38)","(90.87, 78.55, 59.92, 97.18)","(62.52, 62.55, 59.74, 65.36)","(52.98, 53.9, 60.58, 47.22)","(51.1, 51.46, 60.02, 42.9)"
