model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",progan,cyclegan,biggan,stylegan,gaugan,stargan,deepfake,seeingdark,san,crn,imle,guided,ldm_200,ldm_200_cfg,ldm_100,glide_100_27,glide_50_27,glide_100_10,dalle
drct-convnext-b,"(77.46, 69.43, 64.96, 73.91)","(66.93, 61.39, 80.68, 42.1)","(55.98, 49.62, 84.63, 14.61)","(71.19, 65.12, 70.9, 59.35)","(72.76, 67.8, 61.36, 74.24)","(50.52, 51.26, 81.28, 21.24)","(58.46, 56.3, 43.17, 69.43)","(58.78, 50.75, 2.14, 99.52)","(86.82, 72.78, 49.44, 96.11)","(97.24, 93.84, 90.41, 97.26)","(48.44, 48.79, 67.55, 30.02)","(65.3, 65.06, 67.55, 62.57)","(93.17, 84.9, 92.1, 77.7)","(100.0, 81.65, 63.3, 100.0)","(99.97, 81.65, 63.3, 100.0)","(100.0, 81.65, 63.3, 100.0)","(83.88, 76.0, 63.3, 88.7)","(82.24, 74.75, 63.3, 86.2)","(87.0, 78.05, 63.3, 92.8)","(93.1, 77.9, 63.3, 92.5)"
drct-clip-vit-l-14,"(86.34, 75.63, 80.58, 70.68)","(85.11, 78.4, 76.25, 80.55)","(95.53, 86.87, 92.81, 80.92)","(91.89, 83.52, 89.35, 77.7)","(67.73, 65.92, 68.55, 63.28)","(93.53, 64.57, 99.2, 29.94)","(94.05, 65.98, 32.77, 99.2)","(75.96, 58.24, 20.58, 96.03)","(91.32, 86.94, 86.11, 87.78)","(86.54, 78.77, 94.98, 62.56)","(64.06, 52.44, 98.14, 6.74)","(91.17, 71.59, 98.14, 45.05)","(86.8, 71.8, 93.8, 49.8)","(94.75, 88.15, 82.9, 93.4)","(87.29, 80.35, 82.9, 77.8)","(94.82, 88.55, 82.9, 94.2)","(82.26, 76.6, 82.9, 70.3)","(79.53, 73.75, 82.9, 64.6)","(83.18, 77.1, 82.9, 71.3)","(94.9, 87.35, 82.9, 91.8)"
