model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(98.79, 83.86, 99.9, 67.83)","(100.0, 99.54, 99.9, 99.18)","(100.0, 99.36, 99.9, 98.82)","(100.0, 99.4, 99.9, 98.9)","(99.66, 86.92, 99.9, 73.94)","(99.1, 69.51, 99.9, 39.12)","(97.31, 62.77, 99.9, 25.64)","(99.31, 80.23, 99.9, 60.56)","(95.46, 55.36, 99.9, 10.82)","(99.98, 97.77, 99.9, 95.64)","(98.52, 61.03, 99.9, 22.16)","(100.0, 99.71, 99.9, 99.52)","(99.48, 84.51, 99.9, 69.12)","(96.21, 68.28, 99.9, 36.66)","(100.0, 99.94, 99.9, 99.98)","(99.75, 96.8, 99.9, 93.7)","(95.87, 80.7, 99.9, 61.5)"
drct-clip-vit-l-14,"(91.76, 85.18, 91.1, 79.26)","(92.5, 85.59, 91.1, 80.08)","(96.62, 92.12, 91.1, 93.14)","(96.52, 91.96, 91.1, 92.82)","(94.83, 89.28, 91.1, 87.46)","(95.7, 90.94, 91.1, 90.78)","(93.97, 87.84, 91.1, 84.58)","(93.65, 86.96, 91.1, 82.82)","(91.74, 84.9, 91.1, 78.7)","(91.66, 83.76, 91.1, 76.42)","(91.54, 84.97, 91.1, 78.84)","(95.67, 90.23, 91.1, 89.36)","(93.9, 87.55, 91.1, 84.0)","(90.67, 83.67, 91.1, 76.24)","(97.63, 93.09, 91.1, 95.08)","(82.84, 71.98, 91.1, 52.86)","(68.65, 58.02, 91.1, 24.94)"
