model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(76.49, 69.25, 62.13, 76.36)","(79.46, 68.95, 62.0, 75.9)","(90.77, 77.37, 62.48, 92.25)","(90.8, 77.42, 62.29, 92.55)","(61.75, 58.86, 61.95, 55.77)","(85.56, 75.72, 61.65, 89.78)","(84.85, 72.2, 62.55, 81.85)","(63.49, 61.32, 61.58, 61.05)","(55.25, 62.13, 62.57, 61.7)"
tres,"(74.27, 68.86, 69.1, 68.61)","(78.13, 70.85, 69.23, 72.47)","(92.66, 82.72, 69.78, 95.67)","(92.26, 82.51, 69.49, 95.52)","(55.25, 53.88, 68.28, 39.48)","(78.26, 73.52, 68.3, 78.73)","(90.02, 80.72, 69.5, 91.93)","(62.01, 59.58, 68.62, 50.55)","(45.55, 47.07, 69.63, 24.5)"
contrique,"(95.02, 89.11, 83.98, 94.25)","(95.15, 90.12, 89.27, 90.98)","(99.61, 94.34, 88.85, 99.83)","(99.57, 94.36, 89.16, 99.55)","(94.52, 88.92, 89.02, 88.83)","(93.22, 89.39, 88.57, 90.22)","(99.22, 94.32, 89.32, 99.33)","(95.08, 89.76, 88.72, 90.8)","(83.79, 71.67, 48.9, 94.43)"
reiqa,"(87.99, 79.96, 86.41, 73.51)","(88.56, 78.52, 87.9, 69.13)","(98.46, 92.46, 88.02, 96.9)","(98.45, 92.73, 88.16, 97.3)","(79.72, 69.58, 88.12, 51.05)","(83.02, 72.61, 88.1, 57.12)","(97.45, 91.39, 88.32, 94.47)","(86.63, 77.42, 88.2, 66.63)","(71.66, 64.98, 74.47, 55.48)"
arniqa,"(77.98, 71.96, 72.58, 71.35)","(87.13, 77.92, 73.28, 82.57)","(93.67, 83.73, 72.53, 94.93)","(94.23, 83.91, 73.09, 94.72)","(71.3, 68.27, 72.78, 63.75)","(61.51, 58.23, 72.37, 44.1)","(90.27, 81.58, 73.33, 89.83)","(70.88, 67.82, 72.78, 62.85)","(54.87, 54.26, 70.45, 38.07)"
