model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(74.24, 60.51, 30.37, 90.64)","(78.99, 61.07, 29.43, 92.7)","(94.76, 65.44, 31.65, 99.23)","(94.55, 64.77, 30.28, 99.26)","(55.2, 55.84, 30.37, 81.32)","(69.69, 60.09, 30.43, 89.75)","(91.51, 64.13, 30.58, 97.68)","(65.04, 58.45, 29.28, 87.62)","(44.22, 54.27, 30.97, 77.57)"
tres,"(72.65, 57.02, 31.72, 82.32)","(80.62, 62.28, 31.83, 92.73)","(95.52, 65.54, 31.43, 99.65)","(94.95, 65.64, 31.71, 99.56)","(50.3, 51.32, 32.1, 70.55)","(64.28, 56.37, 30.85, 81.88)","(93.46, 65.38, 31.63, 99.12)","(64.12, 57.68, 31.9, 83.45)","(37.93, 31.95, 32.28, 31.62)"
contrique,"(78.03, 69.91, 56.88, 82.96)","(79.43, 70.58, 62.3, 78.85)","(96.28, 80.92, 64.08, 97.77)","(95.98, 80.32, 63.11, 97.52)","(59.7, 61.88, 63.2, 60.57)","(70.78, 67.6, 61.87, 73.33)","(93.26, 78.97, 64.5, 93.45)","(66.72, 64.63, 62.73, 66.53)","(62.11, 54.42, 13.22, 95.62)"
reiqa,"(79.84, 73.04, 79.11, 66.98)","(87.81, 78.14, 82.33, 73.95)","(98.87, 89.88, 81.72, 98.03)","(98.77, 89.93, 81.75, 98.11)","(61.94, 57.78, 82.12, 33.43)","(67.83, 61.24, 81.65, 40.83)","(96.97, 88.48, 82.4, 94.55)","(68.25, 62.51, 82.57, 42.45)","(58.29, 56.4, 58.33, 54.47)"
arniqa,"(81.17, 73.46, 64.24, 82.69)","(85.52, 76.27, 65.35, 87.18)","(96.98, 81.35, 64.52, 98.18)","(97.22, 81.59, 64.8, 98.38)","(65.86, 65.39, 65.03, 65.75)","(75.58, 72.53, 64.8, 80.27)","(94.89, 80.87, 65.2, 96.53)","(71.43, 66.46, 64.98, 67.93)","(61.85, 63.25, 59.22, 67.28)"
