model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(74.59, 60.67, 31.34, 90.0)","(80.13, 61.61, 30.4, 92.82)","(95.43, 65.77, 31.95, 99.6)","(95.11, 65.58, 31.77, 99.38)","(56.33, 56.5, 31.53, 81.47)","(71.76, 60.01, 31.13, 88.88)","(91.59, 64.86, 31.78, 97.93)","(62.15, 58.77, 30.43, 87.1)","(44.25, 52.27, 31.7, 72.83)"
tres,"(73.52, 59.98, 40.4, 79.56)","(81.57, 65.42, 40.28, 90.55)","(96.24, 70.11, 40.52, 99.7)","(95.85, 69.81, 40.14, 99.49)","(51.52, 52.24, 40.15, 64.33)","(67.42, 60.38, 39.57, 81.2)","(94.11, 69.95, 41.02, 98.88)","(62.22, 58.26, 39.98, 76.53)","(39.2, 33.7, 41.57, 25.83)"
contrique,"(96.78, 90.04, 85.79, 94.3)","(96.29, 90.95, 91.77, 90.13)","(99.91, 96.04, 92.12, 99.97)","(99.89, 95.92, 92.06, 99.78)","(96.28, 90.32, 92.23, 88.4)","(95.91, 90.69, 91.58, 89.8)","(99.74, 96.08, 92.52, 99.65)","(96.43, 90.46, 91.57, 89.35)","(89.78, 69.88, 42.47, 97.28)"
reiqa,"(88.82, 81.38, 89.82, 72.94)","(94.02, 85.68, 91.17, 80.2)","(99.84, 95.47, 91.15, 99.78)","(99.8, 95.49, 91.29, 99.7)","(79.94, 68.48, 91.15, 45.8)","(83.47, 72.59, 91.25, 53.93)","(99.36, 95.02, 91.67, 98.38)","(86.59, 75.6, 91.4, 59.8)","(67.51, 62.71, 79.5, 45.92)"
arniqa,"(82.59, 76.14, 71.36, 80.91)","(88.04, 80.12, 72.25, 88.0)","(98.42, 85.64, 71.92, 99.37)","(98.65, 85.41, 71.66, 99.16)","(74.96, 72.39, 71.4, 73.38)","(69.89, 69.57, 71.77, 67.37)","(96.14, 84.7, 72.32, 97.08)","(73.94, 71.07, 71.08, 71.05)","(60.71, 60.2, 68.5, 51.9)"
