model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(66.45, 50.9, 5.36, 96.45)","(71.2, 51.16, 5.22, 97.1)","(89.76, 52.72, 5.68, 99.77)","(89.46, 52.53, 5.26, 99.8)","(45.69, 49.61, 5.22, 94.0)","(53.39, 47.82, 5.4, 90.25)","(89.09, 52.72, 5.82, 99.62)","(56.75, 49.85, 4.95, 94.75)","(36.29, 50.82, 5.32, 96.33)"
tres,"(67.22, 54.46, 32.11, 76.82)","(72.96, 60.09, 31.93, 88.25)","(91.17, 65.39, 31.87, 98.92)","(90.57, 65.44, 31.99, 98.89)","(45.04, 46.25, 32.65, 59.85)","(54.07, 52.39, 31.83, 72.95)","(89.89, 65.0, 31.38, 98.62)","(55.81, 52.87, 31.75, 73.98)","(38.28, 28.29, 33.52, 23.07)"
contrique,"(71.59, 55.2, 15.14, 95.26)","(79.08, 56.97, 17.02, 96.92)","(92.3, 58.91, 17.92, 99.9)","(91.97, 58.36, 17.0, 99.72)","(50.91, 52.59, 17.07, 88.12)","(61.64, 53.82, 16.75, 90.88)","(91.27, 58.58, 17.68, 99.47)","(54.3, 52.27, 17.28, 87.25)","(51.26, 50.09, 0.37, 99.82)"
reiqa,"(77.33, 71.34, 77.45, 65.24)","(88.26, 79.1, 79.75, 78.45)","(99.06, 89.15, 78.88, 99.42)","(98.94, 88.99, 78.7, 99.29)","(57.46, 55.49, 78.47, 32.52)","(66.52, 62.1, 79.03, 45.17)","(98.12, 88.69, 79.32, 98.07)","(63.3, 59.48, 79.05, 39.9)","(47.0, 47.76, 66.43, 29.08)"
arniqa,"(69.56, 59.76, 38.37, 81.15)","(78.2, 65.18, 39.92, 90.43)","(93.81, 70.09, 40.95, 99.23)","(93.81, 69.89, 40.76, 99.01)","(49.65, 52.32, 40.77, 63.87)","(49.59, 49.37, 40.62, 58.12)","(91.71, 69.31, 40.95, 97.67)","(55.22, 53.83, 41.73, 65.93)","(44.51, 48.11, 21.25, 74.97)"
