model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(73.6, 61.76, 34.56, 88.97)","(77.78, 62.56, 33.87, 91.25)","(93.71, 66.88, 35.05, 98.7)","(93.51, 66.52, 34.3, 98.75)","(54.05, 55.79, 34.22, 77.37)","(68.44, 61.31, 35.15, 87.47)","(91.18, 66.19, 35.17, 97.22)","(64.53, 59.07, 34.03, 84.1)","(45.61, 55.8, 34.73, 76.87)"
tres,"(71.3, 56.73, 32.87, 80.59)","(77.99, 61.78, 32.9, 90.67)","(94.37, 66.3, 33.17, 99.43)","(93.57, 65.93, 32.4, 99.46)","(48.93, 49.46, 32.53, 66.38)","(61.45, 55.08, 31.93, 78.22)","(92.68, 66.08, 33.18, 98.98)","(63.13, 57.25, 32.98, 81.52)","(38.24, 31.96, 33.88, 30.03)"
contrique,"(76.68, 62.76, 33.75, 91.77)","(78.39, 64.56, 38.13, 90.98)","(95.25, 68.84, 38.57, 99.12)","(94.81, 68.36, 37.7, 99.01)","(54.55, 57.76, 36.82, 78.7)","(68.91, 61.62, 37.05, 86.18)","(92.47, 68.05, 38.83, 97.27)","(65.92, 61.29, 37.33, 85.25)","(63.17, 51.63, 5.6, 97.67)"
reiqa,"(76.29, 69.56, 68.7, 70.42)","(84.63, 75.12, 72.12, 78.12)","(97.67, 84.87, 71.87, 97.87)","(97.51, 84.42, 71.18, 97.66)","(56.09, 55.65, 71.17, 40.13)","(63.96, 60.68, 71.58, 49.77)","(95.69, 83.23, 71.37, 95.1)","(62.73, 59.81, 71.97, 47.65)","(52.02, 52.72, 48.37, 57.08)"
arniqa,"(80.57, 67.26, 41.72, 92.8)","(83.91, 68.72, 41.78, 95.67)","(96.33, 70.67, 41.82, 99.52)","(96.41, 70.35, 41.22, 99.48)","(63.46, 63.48, 41.7, 85.25)","(71.55, 64.89, 41.38, 88.4)","(94.17, 70.32, 41.82, 98.82)","(73.05, 64.8, 41.6, 88.0)","(65.65, 64.88, 42.48, 87.27)"
