model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(66.98, 51.96, 7.99, 95.93)","(71.53, 52.31, 7.57, 97.05)","(91.12, 54.12, 8.42, 99.83)","(91.07, 53.81, 7.89, 99.72)","(45.15, 50.37, 8.23, 92.5)","(52.65, 48.76, 7.75, 89.77)","(90.43, 54.02, 8.45, 99.6)","(57.31, 50.92, 7.65, 94.2)","(36.61, 51.35, 7.93, 94.77)"
tres,"(67.57, 52.35, 24.26, 80.45)","(73.42, 57.91, 24.0, 91.82)","(92.77, 61.81, 23.98, 99.63)","(92.23, 61.98, 24.45, 99.51)","(44.69, 46.06, 24.4, 67.72)","(52.04, 49.98, 23.72, 76.25)","(91.33, 61.88, 24.2, 99.57)","(57.13, 52.83, 24.27, 81.4)","(36.97, 26.36, 25.03, 27.68)"
contrique,"(74.98, 61.51, 32.66, 90.36)","(83.5, 66.33, 37.5, 95.17)","(95.53, 68.59, 37.55, 99.63)","(95.66, 67.88, 36.16, 99.59)","(52.74, 53.82, 36.92, 70.73)","(65.11, 60.53, 36.28, 84.78)","(94.0, 68.01, 37.47, 98.55)","(58.24, 56.23, 37.4, 75.07)","(55.09, 50.66, 1.98, 99.33)"
reiqa,"(77.46, 71.76, 79.5, 64.02)","(88.23, 79.31, 81.85, 76.77)","(99.34, 90.41, 81.25, 99.57)","(99.23, 90.2, 81.02, 99.38)","(56.47, 54.48, 81.12, 27.85)","(66.38, 61.85, 81.32, 42.38)","(98.58, 90.08, 81.8, 98.35)","(64.19, 59.7, 81.42, 37.98)","(47.28, 48.05, 66.2, 29.9)"
arniqa,"(70.57, 61.31, 43.62, 79.0)","(80.96, 69.21, 47.02, 91.4)","(95.2, 72.69, 45.98, 99.4)","(95.51, 72.36, 45.56, 99.16)","(50.58, 53.52, 45.5, 61.53)","(50.14, 50.14, 45.88, 54.4)","(93.1, 71.72, 45.68, 97.75)","(55.13, 53.84, 46.72, 60.97)","(43.92, 46.99, 26.62, 67.37)"
