model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(72.55, 57.76, 24.33, 91.19)","(76.81, 58.44, 23.68, 93.2)","(94.66, 62.21, 24.93, 99.48)","(94.36, 61.78, 24.16, 99.4)","(53.22, 54.17, 24.85, 83.48)","(67.58, 57.29, 24.72, 89.87)","(90.65, 61.31, 24.48, 98.13)","(61.51, 56.33, 23.32, 89.35)","(41.61, 50.53, 24.48, 76.58)"
tres,"(72.16, 56.65, 31.64, 81.67)","(79.89, 62.03, 32.02, 92.05)","(95.56, 65.7, 31.63, 99.77)","(95.15, 65.55, 31.56, 99.54)","(49.51, 50.63, 31.92, 69.35)","(64.43, 56.42, 30.6, 82.25)","(93.39, 65.53, 31.88, 99.18)","(61.54, 56.28, 30.93, 81.63)","(37.8, 31.08, 32.58, 29.58)"
contrique,"(77.67, 71.42, 68.08, 74.76)","(80.2, 73.32, 75.85, 70.78)","(96.42, 85.78, 75.98, 95.57)","(96.3, 85.52, 75.68, 95.38)","(63.47, 62.21, 75.68, 48.73)","(70.55, 67.88, 74.3, 61.47)","(92.16, 81.69, 76.2, 87.18)","(64.16, 61.62, 75.37, 47.88)","(58.07, 53.34, 15.58, 91.1)"
reiqa,"(80.83, 74.03, 86.52, 61.54)","(87.72, 77.75, 89.57, 65.93)","(99.24, 93.82, 89.47, 98.17)","(99.13, 93.76, 89.7, 97.81)","(65.29, 57.78, 88.92, 26.65)","(70.93, 61.54, 89.07, 34.02)","(97.5, 91.25, 89.87, 92.63)","(69.9, 60.55, 89.53, 31.57)","(56.93, 55.81, 66.07, 45.55)"
arniqa,"(73.08, 66.88, 61.64, 72.13)","(77.3, 69.62, 62.8, 76.43)","(94.28, 78.84, 61.32, 96.37)","(94.89, 79.64, 62.69, 96.6)","(52.13, 53.36, 61.02, 45.7)","(64.76, 64.9, 62.38, 67.42)","(90.28, 77.38, 62.48, 92.27)","(55.76, 53.71, 61.52, 45.9)","(55.25, 57.6, 58.88, 56.32)"
