model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
hyperiqa,"(66.23, 50.88, 5.16, 96.61)","(70.68, 50.85, 4.62, 97.08)","(89.41, 52.66, 5.53, 99.78)","(89.12, 52.55, 5.3, 99.8)","(46.01, 49.89, 5.13, 94.65)","(53.55, 47.53, 4.75, 90.32)","(88.96, 52.72, 5.78, 99.67)","(55.86, 50.06, 4.93, 95.18)","(36.21, 50.82, 5.22, 96.42)"
tres,"(67.0, 55.24, 34.79, 75.7)","(72.37, 61.13, 34.75, 87.52)","(90.84, 66.6, 34.62, 98.58)","(90.08, 66.47, 34.49, 98.45)","(45.34, 46.22, 34.88, 57.55)","(54.15, 52.77, 34.68, 70.85)","(89.22, 66.52, 34.83, 98.2)","(55.34, 53.41, 34.67, 72.15)","(38.68, 28.84, 35.4, 22.28)"
contrique,"(72.25, 58.34, 23.1, 93.58)","(80.9, 61.77, 27.15, 96.38)","(90.46, 63.22, 27.0, 99.43)","(90.53, 62.5, 25.64, 99.36)","(53.32, 54.65, 25.57, 83.73)","(67.48, 58.29, 25.78, 90.8)","(89.68, 62.62, 26.4, 98.85)","(54.95, 53.58, 27.0, 80.17)","(50.68, 50.08, 0.25, 99.9)"
reiqa,"(76.9, 70.4, 74.24, 66.55)","(87.55, 78.25, 76.47, 80.03)","(98.79, 87.05, 74.87, 99.23)","(98.65, 87.28, 75.62, 98.92)","(57.25, 55.38, 75.52, 35.23)","(67.01, 62.86, 75.42, 50.3)","(97.6, 86.77, 75.78, 97.75)","(62.17, 59.05, 76.17, 41.93)","(46.21, 46.53, 64.03, 29.03)"
arniqa,"(70.27, 62.13, 45.94, 78.3)","(79.82, 68.71, 48.65, 88.77)","(92.9, 73.08, 48.4, 97.75)","(92.87, 73.34, 48.71, 97.98)","(51.79, 54.4, 48.53, 60.27)","(54.58, 54.11, 48.38, 59.83)","(90.58, 71.83, 48.48, 95.18)","(54.75, 53.56, 49.43, 57.68)","(44.87, 47.98, 26.98, 68.97)"
