model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(73.86, 59.42, 37.88, 80.96)","(80.64, 66.44, 37.07, 95.82)","(93.84, 68.58, 37.87, 99.3)","(93.41, 68.51, 37.85, 99.16)","(58.06, 56.18, 38.83, 73.52)","(79.01, 64.77, 37.0, 92.53)","(90.63, 68.26, 38.55, 97.97)","(61.48, 57.57, 37.35, 77.78)","(33.83, 25.04, 38.5, 11.58)"
clip-vit-l-14,"(87.27, 70.73, 97.2, 44.26)","(90.64, 71.84, 96.62, 47.07)","(96.28, 83.46, 97.65, 69.27)","(96.17, 83.66, 97.48, 69.84)","(67.61, 54.02, 97.05, 11.0)","(89.45, 70.93, 96.85, 45.02)","(91.19, 72.42, 97.18, 47.65)","(74.54, 56.32, 97.52, 15.13)","(92.26, 73.18, 97.27, 49.08)"
