model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(61.95, 52.18, 26.46, 77.88)","(59.47, 57.96, 25.82, 90.1)","(83.26, 62.25, 26.0, 98.5)","(82.83, 62.33, 26.34, 98.32)","(47.71, 50.26, 26.93, 73.58)","(59.78, 56.11, 25.77, 86.45)","(82.62, 62.57, 27.18, 97.95)","(47.64, 48.28, 26.9, 69.65)","(32.3, 17.65, 26.77, 8.53)"
clip-vit-l-14,"(75.36, 69.33, 82.19, 56.47)","(71.16, 63.74, 82.53, 44.95)","(88.33, 81.51, 82.35, 80.67)","(88.2, 80.82, 81.86, 79.79)","(57.77, 54.8, 82.38, 27.22)","(67.44, 61.77, 81.17, 42.37)","(81.35, 73.97, 81.77, 66.17)","(61.95, 57.64, 82.85, 32.43)","(86.7, 80.38, 82.62, 78.15)"
