model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(79.58, 73.49, 74.41, 72.56)","(88.49, 83.3, 74.23, 92.37)","(95.31, 85.92, 74.27, 97.58)","(95.2, 85.66, 73.92, 97.39)","(67.17, 64.16, 74.72, 53.6)","(87.58, 81.71, 74.08, 89.33)","(93.25, 84.35, 74.9, 93.8)","(65.19, 61.8, 74.47, 49.13)","(44.41, 41.01, 74.7, 7.32)"
clip-vit-l-14,"(89.46, 73.63, 97.81, 49.46)","(91.44, 70.79, 97.82, 43.77)","(97.17, 85.22, 97.92, 72.53)","(97.23, 85.32, 97.95, 72.7)","(67.61, 54.92, 97.62, 12.23)","(93.75, 77.71, 97.73, 57.68)","(93.61, 76.01, 97.73, 54.28)","(78.5, 57.13, 97.85, 16.42)","(96.41, 81.97, 97.85, 66.08)"
