model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(65.04, 55.75, 34.5, 77.0)","(66.71, 63.18, 34.3, 92.05)","(87.38, 66.39, 34.07, 98.72)","(86.44, 66.46, 34.41, 98.5)","(49.56, 52.27, 34.53, 70.0)","(63.8, 60.88, 34.08, 87.68)","(85.71, 66.47, 35.23, 97.72)","(47.71, 49.29, 34.77, 63.82)","(32.99, 21.06, 34.62, 7.5)"
clip-vit-l-14,"(80.89, 71.67, 89.7, 53.64)","(79.43, 67.12, 89.9, 44.33)","(92.89, 84.43, 90.37, 78.5)","(92.35, 83.9, 89.51, 78.29)","(62.36, 55.68, 89.43, 21.93)","(78.43, 67.78, 89.2, 46.37)","(86.39, 75.78, 89.23, 62.33)","(64.12, 56.01, 90.13, 21.88)","(91.12, 82.64, 89.83, 75.45)"
