model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(62.99, 53.32, 29.47, 77.18)","(62.1, 59.65, 28.92, 90.38)","(84.37, 63.78, 29.38, 98.18)","(83.89, 63.63, 29.14, 98.12)","(48.05, 50.49, 29.83, 71.15)","(61.93, 57.75, 28.5, 87.0)","(83.44, 63.81, 30.0, 97.62)","(47.71, 48.6, 30.2, 67.0)","(32.41, 18.87, 29.78, 7.95)"
clip-vit-l-14,"(77.72, 69.39, 88.74, 50.04)","(75.41, 64.72, 88.68, 40.77)","(90.06, 81.18, 89.25, 73.1)","(89.03, 80.02, 88.46, 71.58)","(59.26, 54.61, 89.02, 20.2)","(73.27, 64.33, 88.4, 40.27)","(83.32, 72.96, 88.07, 57.85)","(61.63, 55.49, 89.43, 21.55)","(89.81, 81.82, 88.65, 75.0)"
