model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(74.84, 64.67, 52.24, 77.1)","(81.45, 72.87, 52.27, 93.47)","(94.25, 75.32, 51.98, 98.65)","(94.05, 75.6, 52.48, 98.72)","(62.5, 60.28, 52.4, 68.17)","(80.95, 71.46, 51.9, 91.02)","(90.83, 74.71, 52.88, 96.53)","(59.12, 57.45, 51.72, 63.18)","(35.57, 29.69, 52.3, 7.08)"
clip-vit-l-14,"(89.38, 71.01, 97.76, 44.27)","(90.1, 68.55, 97.53, 39.57)","(96.45, 81.88, 98.02, 65.75)","(96.52, 82.06, 97.94, 66.17)","(72.66, 54.64, 97.48, 11.8)","(92.15, 73.42, 97.53, 49.32)","(92.59, 72.64, 97.83, 47.45)","(79.55, 57.22, 98.03, 16.42)","(95.02, 77.7, 97.75, 57.65)"
