model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(77.12, 66.49, 54.25, 78.73)","(84.76, 73.58, 53.33, 93.83)","(94.9, 76.38, 54.07, 98.7)","(94.73, 76.06, 53.86, 98.25)","(64.73, 62.26, 54.27, 70.25)","(82.79, 71.88, 54.35, 89.4)","(91.99, 75.83, 54.87, 96.8)","(65.73, 62.31, 54.5, 70.12)","(37.31, 33.62, 54.72, 12.53)"
clip-vit-l-14,"(84.94, 67.4, 97.56, 37.24)","(89.4, 68.99, 97.25, 40.73)","(94.93, 78.55, 97.88, 59.22)","(94.83, 79.16, 97.84, 60.48)","(61.78, 52.06, 97.5, 6.62)","(86.88, 66.17, 97.32, 35.02)","(89.44, 68.08, 97.47, 38.68)","(69.84, 53.67, 97.88, 9.45)","(92.42, 72.55, 97.38, 47.72)"
