model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(70.93, 64.17, 71.26, 57.08)","(94.17, 84.23, 71.07, 97.4)","(98.0, 85.27, 71.18, 99.35)","(98.05, 85.26, 71.21, 99.31)","(43.38, 41.97, 71.3, 12.63)","(50.62, 50.62, 70.1, 31.15)","(96.42, 84.44, 71.85, 97.03)","(43.15, 41.82, 71.78, 11.87)","(43.67, 39.74, 71.62, 7.87)"
clip-vit-l-14,"(91.0, 82.49, 90.13, 74.84)","(87.03, 75.97, 89.82, 62.12)","(96.9, 91.28, 90.35, 92.22)","(96.84, 90.94, 90.11, 91.76)","(83.73, 73.21, 89.88, 56.53)","(93.47, 85.13, 89.25, 81.02)","(91.42, 82.75, 90.2, 75.3)","(85.34, 74.06, 90.78, 57.33)","(93.29, 86.55, 90.63, 82.47)"
