model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(62.17, 52.54, 27.28, 77.79)","(60.0, 58.36, 26.55, 90.17)","(83.9, 62.42, 26.33, 98.5)","(82.95, 62.78, 27.35, 98.21)","(47.6, 50.41, 27.68, 73.13)","(60.12, 56.63, 26.73, 86.53)","(82.61, 62.97, 28.1, 97.83)","(47.89, 48.52, 27.85, 69.18)","(32.32, 18.19, 27.62, 8.77)"
clip-vit-l-14,"(75.68, 69.18, 83.82, 54.55)","(71.67, 63.78, 83.85, 43.72)","(88.35, 80.75, 83.27, 78.23)","(88.27, 80.97, 84.2, 77.74)","(58.06, 54.49, 84.07, 24.92)","(68.71, 62.22, 83.25, 41.2)","(81.83, 74.14, 84.22, 64.07)","(61.47, 56.63, 83.85, 29.42)","(87.07, 80.45, 83.82, 77.08)"
