model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(74.07, 68.0, 62.37, 73.63)","(80.42, 76.0, 62.92, 89.08)","(91.65, 79.15, 61.65, 96.65)","(91.44, 79.17, 62.19, 96.15)","(58.36, 57.74, 63.4, 52.08)","(80.38, 74.7, 61.2, 88.2)","(88.15, 77.77, 62.95, 92.58)","(59.47, 57.9, 62.03, 53.77)","(42.69, 41.55, 62.6, 20.5)"
clip-vit-l-14,"(87.55, 69.54, 97.35, 41.73)","(88.54, 66.62, 97.47, 35.78)","(94.32, 77.58, 97.33, 57.83)","(94.05, 77.31, 97.26, 57.36)","(69.53, 55.17, 97.18, 13.15)","(89.26, 70.28, 97.18, 43.38)","(89.17, 68.13, 97.45, 38.82)","(79.33, 57.77, 97.28, 18.25)","(96.21, 83.46, 97.62, 69.3)"
