model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(76.6, 68.32, 62.34, 74.3)","(84.17, 75.69, 61.52, 89.87)","(94.47, 79.87, 62.4, 97.33)","(94.33, 79.22, 61.46, 96.99)","(62.67, 60.98, 62.35, 59.62)","(81.74, 73.6, 62.33, 84.87)","(91.87, 78.86, 62.77, 94.95)","(65.18, 61.53, 62.38, 60.68)","(38.38, 36.82, 63.55, 10.1)"
clip-vit-l-14,"(83.89, 68.14, 96.62, 39.67)","(87.96, 69.45, 96.35, 42.55)","(94.3, 79.8, 96.75, 62.85)","(94.28, 80.04, 96.85, 63.22)","(60.58, 51.99, 96.5, 7.48)","(84.28, 65.58, 96.07, 35.08)","(88.96, 71.03, 96.53, 45.53)","(70.1, 54.89, 97.12, 12.67)","(90.68, 72.38, 96.8, 47.97)"
