model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(70.23, 60.2, 42.82, 77.58)","(76.86, 68.57, 42.28, 94.85)","(91.92, 70.59, 42.0, 99.18)","(91.49, 71.13, 43.19, 99.08)","(54.58, 56.12, 43.87, 68.38)","(69.66, 64.06, 41.82, 86.3)","(88.11, 70.38, 43.35, 97.4)","(55.71, 55.72, 42.27, 69.17)","(33.51, 25.01, 43.75, 6.27)"
clip-vit-l-14,"(88.55, 69.88, 97.74, 42.01)","(91.09, 69.98, 97.42, 42.55)","(96.26, 81.35, 98.07, 64.63)","(96.24, 81.28, 97.95, 64.6)","(70.83, 54.19, 97.58, 10.8)","(89.87, 69.25, 97.38, 41.12)","(91.62, 71.07, 97.85, 44.28)","(78.24, 56.68, 97.9, 15.45)","(94.21, 75.22, 97.77, 52.68)"
