model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(61.83, 51.97, 26.01, 77.93)","(59.77, 57.86, 25.33, 90.38)","(83.12, 62.1, 25.55, 98.65)","(83.17, 62.1, 25.78, 98.42)","(47.48, 50.15, 26.67, 73.63)","(59.14, 56.2, 25.78, 86.62)","(82.3, 62.14, 26.55, 97.73)","(47.46, 48.06, 26.5, 69.62)","(32.18, 17.14, 25.88, 8.4)"
clip-vit-l-14,"(75.31, 69.37, 81.59, 57.15)","(70.76, 63.31, 81.38, 45.23)","(88.48, 81.51, 81.38, 81.63)","(88.63, 81.08, 81.68, 80.49)","(57.53, 54.98, 81.72, 28.25)","(67.32, 62.02, 81.02, 43.02)","(81.57, 74.12, 81.75, 66.5)","(62.13, 57.92, 82.1, 33.73)","(86.04, 79.99, 81.67, 78.32)"
