model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(66.91, 59.96, 55.53, 64.38)","(83.99, 75.84, 55.93, 95.75)","(93.29, 77.09, 55.27, 98.92)","(93.34, 77.27, 55.72, 98.81)","(42.67, 42.92, 55.02, 30.83)","(51.32, 56.6, 54.75, 58.45)","(90.67, 76.09, 55.7, 96.48)","(42.34, 42.42, 56.35, 28.48)","(37.64, 31.42, 55.5, 7.33)"
clip-vit-l-14,"(94.34, 81.9, 96.82, 66.98)","(91.26, 74.37, 96.73, 52.0)","(98.01, 90.75, 96.9, 84.6)","(97.79, 90.08, 96.59, 83.56)","(87.73, 70.39, 96.73, 44.05)","(96.83, 87.91, 96.8, 79.02)","(94.44, 81.37, 96.75, 65.98)","(92.68, 75.86, 97.02, 54.7)","(95.99, 84.46, 97.02, 71.9)"
