model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(77.88, 71.28, 68.56, 74.0)","(85.57, 80.05, 68.92, 91.18)","(94.26, 83.42, 69.43, 97.4)","(93.96, 82.7, 68.48, 96.92)","(65.13, 62.42, 68.63, 56.22)","(85.0, 78.17, 67.33, 89.0)","(92.11, 81.34, 68.65, 94.03)","(65.17, 61.82, 68.22, 55.42)","(41.86, 40.33, 68.85, 11.82)"
clip-vit-l-14,"(87.99, 72.6, 96.83, 48.36)","(88.91, 69.58, 96.6, 42.55)","(95.7, 83.09, 97.03, 69.15)","(95.4, 82.58, 96.85, 68.3)","(68.99, 55.98, 96.78, 15.17)","(90.47, 74.24, 96.58, 51.9)","(90.57, 72.98, 97.03, 48.93)","(78.08, 58.4, 97.05, 19.75)","(95.82, 83.94, 96.75, 71.13)"
