model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
clip-resnet50,"(74.02, 67.68, 67.04, 68.32)","(80.07, 74.48, 66.52, 82.45)","(92.89, 80.92, 66.68, 95.17)","(92.93, 80.72, 66.67, 94.78)","(57.8, 57.25, 67.42, 47.08)","(77.52, 71.34, 66.62, 76.07)","(90.39, 79.92, 67.13, 92.72)","(62.36, 59.33, 67.45, 51.22)","(38.21, 37.47, 67.85, 7.08)"
clip-vit-l-14,"(82.94, 69.78, 94.76, 44.8)","(87.11, 71.51, 94.3, 48.72)","(93.62, 81.87, 94.9, 68.83)","(93.71, 82.67, 95.08, 70.26)","(60.07, 52.57, 94.67, 10.47)","(82.23, 66.74, 94.38, 39.1)","(88.14, 73.84, 94.73, 52.95)","(70.4, 56.69, 94.9, 18.48)","(88.28, 72.34, 95.1, 49.58)"
