model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",midjourney,sdv4,sdv5,adm,glide,wukong,vqdm,biggan
drct-convnext-b,"(97.5, 83.53, 98.62, 68.44)","(99.39, 94.44, 98.47, 90.42)","(100.0, 99.37, 98.73, 100.0)","(99.99, 99.19, 98.55, 99.84)","(93.93, 66.41, 98.67, 34.15)","(96.71, 73.31, 98.62, 48.0)","(99.99, 99.25, 98.55, 99.95)","(96.72, 76.85, 98.58, 55.12)","(93.28, 59.41, 98.77, 20.05)"
drct-clip-vit-l-14,"(93.81, 87.67, 86.22, 89.13)","(92.24, 85.81, 86.27, 85.35)","(97.91, 92.32, 86.73, 97.92)","(97.65, 91.87, 86.05, 97.69)","(84.61, 75.18, 86.32, 64.05)","(92.44, 87.43, 85.88, 88.98)","(97.85, 92.22, 86.4, 98.05)","(95.21, 89.13, 86.35, 91.92)","(92.6, 87.42, 85.78, 89.05)"
