model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
clip-resnet50,"(88.42, 82.46, 81.9, 83.01)","(93.78, 89.22, 81.9, 96.54)","(98.12, 90.3, 81.9, 98.7)","(98.12, 90.35, 81.9, 98.8)","(96.67, 89.91, 81.9, 97.92)","(86.7, 81.92, 81.9, 81.94)","(92.11, 87.17, 81.9, 92.44)","(94.3, 88.34, 81.9, 94.78)","(94.01, 87.73, 81.9, 93.56)","(97.79, 90.08, 81.9, 98.26)","(83.49, 78.75, 81.9, 75.6)","(93.78, 87.91, 81.9, 93.92)","(92.06, 85.59, 81.9, 89.28)","(93.99, 87.64, 81.9, 93.38)","(66.05, 60.5, 81.9, 39.1)","(66.13, 61.39, 81.9, 40.88)","(67.59, 62.49, 81.9, 43.08)"
clip-vit-l-14,"(88.64, 66.93, 98.94, 34.91)","(94.18, 69.98, 98.94, 41.02)","(96.43, 77.95, 98.94, 56.96)","(96.42, 78.58, 98.94, 58.22)","(95.2, 73.56, 98.94, 48.18)","(90.27, 63.65, 98.94, 28.36)","(97.04, 79.3, 98.94, 59.66)","(92.64, 69.24, 98.94, 39.54)","(90.7, 63.94, 98.94, 28.94)","(95.65, 75.67, 98.94, 52.4)","(88.68, 61.5, 98.94, 24.06)","(93.94, 70.72, 98.94, 42.5)","(90.12, 64.2, 98.94, 29.46)","(91.25, 66.16, 98.94, 33.38)","(71.26, 52.86, 98.94, 6.78)","(66.88, 51.81, 98.94, 4.68)","(67.64, 51.7, 98.94, 4.46)"
