model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
hyperiqa,"(77.09, 59.39, 24.74, 94.04)","(90.82, 61.77, 24.74, 98.8)","(93.44, 61.86, 24.74, 98.98)","(93.06, 61.8, 24.74, 98.86)","(93.23, 62.09, 24.74, 99.44)","(74.66, 61.21, 24.74, 97.68)","(81.23, 59.77, 24.74, 94.8)","(77.35, 60.82, 24.74, 96.9)","(73.77, 60.35, 24.74, 95.96)","(88.01, 61.12, 24.74, 97.5)","(62.51, 56.98, 24.74, 89.22)","(84.71, 61.17, 24.74, 97.6)","(73.37, 59.28, 24.74, 93.82)","(79.82, 57.83, 24.74, 90.92)","(62.2, 57.84, 24.74, 90.94)","(55.5, 55.27, 24.74, 85.8)","(49.77, 51.1, 24.74, 77.46)"
tres,"(78.95, 64.95, 38.72, 91.17)","(92.86, 68.39, 38.72, 98.06)","(94.72, 68.84, 38.72, 98.96)","(94.35, 68.86, 38.72, 99.0)","(94.45, 69.11, 38.72, 99.5)","(76.69, 66.81, 38.72, 94.9)","(78.09, 65.92, 38.72, 93.12)","(74.99, 65.38, 38.72, 92.04)","(72.3, 64.21, 38.72, 89.7)","(89.3, 68.22, 38.72, 97.72)","(69.88, 64.12, 38.72, 89.52)","(91.14, 68.92, 38.72, 99.12)","(78.86, 65.85, 38.72, 92.98)","(85.93, 66.83, 38.72, 94.94)","(65.12, 61.61, 38.72, 84.5)","(55.33, 55.75, 38.72, 72.78)","(49.16, 50.32, 38.72, 61.92)"
contrique,"(97.07, 85.51, 98.08, 72.94)","(99.5, 96.38, 98.08, 94.68)","(99.6, 96.91, 98.08, 95.74)","(99.56, 96.75, 98.08, 95.42)","(99.39, 95.36, 98.08, 92.64)","(97.41, 86.35, 98.08, 74.62)","(95.34, 73.67, 98.08, 49.26)","(96.97, 81.78, 98.08, 65.48)","(97.33, 84.64, 98.08, 71.2)","(99.03, 92.48, 98.08, 86.88)","(95.73, 74.35, 98.08, 50.62)","(97.78, 85.83, 98.08, 73.58)","(96.75, 79.49, 98.08, 60.9)","(96.5, 76.43, 98.08, 54.78)","(99.77, 97.99, 98.08, 97.9)","(89.46, 71.21, 98.08, 44.34)","(92.96, 78.57, 98.08, 59.06)"
reiqa,"(91.23, 81.64, 93.46, 69.81)","(98.47, 93.71, 93.46, 93.96)","(98.74, 94.21, 93.46, 94.96)","(98.58, 93.83, 93.46, 94.2)","(97.47, 91.3, 93.46, 89.14)","(88.62, 75.64, 93.46, 57.82)","(89.96, 76.73, 93.46, 60.0)","(91.17, 79.85, 93.46, 66.24)","(85.32, 70.08, 93.46, 46.7)","(95.44, 87.16, 93.46, 80.86)","(89.59, 77.57, 93.46, 61.68)","(97.41, 92.08, 93.46, 90.7)","(88.99, 75.26, 93.46, 57.06)","(91.75, 79.36, 93.46, 65.26)","(98.03, 93.63, 93.46, 93.8)","(81.95, 67.77, 93.46, 42.08)","(68.23, 58.01, 93.46, 22.56)"
arniqa,"(81.78, 75.99, 72.14, 79.85)","(97.34, 85.71, 72.14, 99.28)","(96.75, 84.98, 72.14, 97.82)","(96.53, 84.96, 72.14, 97.78)","(96.07, 84.93, 72.14, 97.72)","(75.32, 75.94, 72.14, 79.74)","(76.94, 74.2, 72.14, 76.26)","(76.24, 74.92, 72.14, 77.7)","(76.16, 74.72, 72.14, 77.3)","(86.34, 78.1, 72.14, 84.06)","(66.2, 66.41, 72.14, 60.68)","(90.69, 82.63, 72.14, 93.12)","(73.82, 69.65, 72.14, 67.16)","(83.24, 73.57, 72.14, 75.0)","(87.65, 80.58, 72.14, 89.02)","(69.84, 66.89, 72.14, 61.64)","(59.42, 57.72, 72.14, 43.3)"
