model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(98.65, 86.63, 99.7, 73.56)","(100.0, 99.8, 99.7, 99.9)","(99.99, 99.52, 99.7, 99.34)","(99.99, 99.55, 99.7, 99.4)","(99.78, 94.77, 99.7, 89.84)","(99.22, 84.21, 99.7, 68.72)","(98.99, 79.0, 99.7, 58.3)","(98.61, 79.13, 99.7, 58.56)","(97.99, 71.31, 99.7, 42.92)","(99.86, 96.37, 99.7, 93.04)","(98.11, 75.66, 99.7, 51.62)","(99.93, 98.46, 99.7, 97.22)","(98.86, 81.26, 99.7, 62.82)","(98.68, 82.03, 99.7, 64.36)","(99.92, 98.46, 99.7, 97.22)","(97.04, 79.86, 99.7, 60.02)","(91.48, 66.69, 99.7, 33.68)"
drct-clip-vit-l-14,"(96.81, 91.78, 92.6, 90.95)","(99.31, 95.78, 92.6, 98.96)","(99.42, 95.96, 92.6, 99.32)","(99.41, 95.92, 92.6, 99.24)","(98.72, 95.05, 92.6, 97.5)","(99.53, 96.16, 92.6, 99.72)","(98.35, 94.3, 92.6, 96.0)","(98.95, 95.47, 92.6, 98.34)","(98.99, 95.81, 92.6, 99.02)","(98.61, 94.79, 92.6, 96.98)","(99.23, 96.07, 92.6, 99.54)","(99.32, 95.93, 92.6, 99.26)","(98.77, 95.18, 92.6, 97.76)","(98.1, 94.58, 92.6, 96.56)","(92.7, 83.96, 92.6, 75.32)","(87.14, 75.08, 92.6, 57.56)","(82.34, 68.39, 92.6, 44.18)"
