model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(94.03, 81.69, 97.92, 65.46)","(99.99, 98.91, 97.92, 99.9)","(99.97, 98.78, 97.92, 99.64)","(99.97, 98.79, 97.92, 99.66)","(96.52, 84.09, 97.92, 70.26)","(89.15, 66.61, 97.92, 35.3)","(93.01, 72.73, 97.92, 47.54)","(91.0, 70.82, 97.92, 43.72)","(76.72, 55.57, 97.92, 13.22)","(99.73, 97.02, 97.92, 96.12)","(89.71, 66.23, 97.92, 34.54)","(99.95, 98.65, 97.92, 99.38)","(95.78, 80.93, 97.92, 63.94)","(85.68, 65.31, 97.92, 32.7)","(99.93, 98.56, 97.92, 99.2)","(97.32, 85.0, 97.92, 72.08)","(90.03, 69.0, 97.92, 40.08)"
drct-clip-vit-l-14,"(88.64, 79.23, 72.16, 86.3)","(98.59, 85.64, 72.16, 99.12)","(96.78, 85.02, 72.16, 97.88)","(96.53, 84.92, 72.16, 97.68)","(95.09, 84.3, 72.16, 96.44)","(96.19, 84.73, 72.16, 97.3)","(93.77, 83.06, 72.16, 93.96)","(91.16, 81.76, 72.16, 91.36)","(90.62, 81.25, 72.16, 90.34)","(91.91, 82.28, 72.16, 92.4)","(95.87, 84.58, 72.16, 97.0)","(95.53, 84.23, 72.16, 96.3)","(91.51, 82.04, 72.16, 91.92)","(91.96, 82.37, 72.16, 92.58)","(70.33, 65.09, 72.16, 58.02)","(63.0, 59.65, 72.16, 47.14)","(59.39, 56.72, 72.16, 41.28)"
