model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(89.88, 77.24, 96.36, 58.12)","(94.16, 82.81, 96.36, 69.26)","(98.57, 93.88, 96.36, 91.4)","(98.53, 93.54, 96.36, 90.72)","(90.0, 78.83, 96.36, 61.3)","(87.75, 68.21, 96.36, 40.06)","(91.75, 79.07, 96.36, 61.78)","(86.6, 67.63, 96.36, 38.9)","(88.24, 69.99, 96.36, 43.62)","(98.99, 94.37, 96.36, 92.38)","(90.28, 73.2, 96.36, 50.04)","(97.06, 90.88, 96.36, 85.4)","(92.31, 76.25, 96.36, 56.14)","(86.01, 68.81, 96.36, 41.26)","(95.55, 85.15, 96.36, 73.94)","(75.9, 58.73, 96.36, 21.1)","(66.41, 54.46, 96.36, 12.56)"
drct-clip-vit-l-14,"(90.75, 85.9, 90.8, 81.0)","(99.15, 94.65, 90.8, 98.5)","(98.65, 93.86, 90.8, 96.92)","(98.54, 93.52, 90.8, 96.24)","(98.37, 93.22, 90.8, 95.64)","(99.53, 95.14, 90.8, 99.48)","(98.32, 93.38, 90.8, 95.96)","(98.43, 93.79, 90.8, 96.78)","(97.52, 92.18, 90.8, 93.56)","(98.25, 93.33, 90.8, 95.86)","(99.32, 94.85, 90.8, 98.9)","(97.94, 92.71, 90.8, 94.62)","(97.79, 92.46, 90.8, 94.12)","(98.01, 92.74, 90.8, 94.68)","(58.97, 53.52, 90.8, 16.24)","(56.12, 52.01, 90.8, 13.22)","(57.09, 53.01, 90.8, 15.22)"
