model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(99.27, 92.15, 99.66, 84.64)","(100.0, 99.83, 99.66, 100.0)","(100.0, 99.82, 99.66, 99.98)","(100.0, 99.81, 99.66, 99.96)","(99.89, 97.64, 99.66, 95.62)","(99.58, 89.63, 99.66, 79.6)","(99.44, 90.32, 99.66, 80.98)","(99.8, 95.31, 99.66, 90.96)","(98.68, 77.55, 99.66, 55.44)","(99.99, 99.68, 99.66, 99.7)","(99.26, 84.38, 99.66, 69.1)","(100.0, 99.83, 99.66, 100.0)","(99.87, 97.13, 99.66, 94.6)","(98.74, 85.24, 99.66, 70.82)","(100.0, 99.7, 99.66, 99.74)","(99.21, 89.36, 99.66, 79.06)","(93.9, 69.18, 99.66, 38.7)"
drct-clip-vit-l-14,"(93.49, 86.75, 85.62, 87.89)","(99.55, 92.51, 85.62, 99.4)","(99.44, 92.63, 85.62, 99.64)","(99.39, 92.55, 85.62, 99.48)","(98.76, 92.14, 85.62, 98.66)","(99.28, 92.51, 85.62, 99.4)","(97.57, 90.84, 85.62, 96.06)","(98.24, 91.85, 85.62, 98.08)","(97.8, 91.38, 85.62, 97.14)","(97.74, 91.35, 85.62, 97.08)","(98.68, 92.14, 85.62, 98.66)","(99.0, 92.19, 85.62, 98.76)","(97.7, 91.07, 85.62, 96.52)","(96.92, 90.53, 85.62, 95.44)","(82.4, 74.03, 85.62, 62.44)","(69.05, 61.87, 85.62, 38.12)","(64.3, 58.47, 85.62, 31.32)"
