model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(94.7, 87.08, 87.85, 86.31)","(99.56, 93.74, 88.34, 99.14)","(99.3, 93.21, 87.64, 98.78)","(99.31, 93.4, 88.0, 98.8)","(96.97, 90.1, 87.46, 92.74)","(90.91, 82.26, 88.16, 76.36)","(91.96, 83.16, 87.86, 78.46)","(93.06, 84.47, 87.9, 81.04)","(86.46, 76.91, 87.84, 65.98)","(98.52, 92.26, 87.48, 97.04)","(94.7, 87.74, 87.62, 87.86)","(99.38, 93.16, 87.54, 98.78)","(95.76, 88.29, 88.28, 88.3)","(93.38, 85.18, 87.96, 82.4)","(98.92, 92.62, 87.7, 97.54)","(91.84, 82.42, 87.86, 76.98)","(85.14, 74.35, 87.96, 60.74)"
drct-clip-vit-l-14,"(83.8, 68.6, 44.94, 92.27)","(87.16, 70.27, 44.9, 95.64)","(92.78, 71.69, 44.82, 98.56)","(92.71, 71.79, 45.0, 98.58)","(88.99, 71.1, 44.86, 97.34)","(92.44, 71.63, 44.82, 98.44)","(87.31, 70.56, 44.68, 96.44)","(89.89, 71.5, 45.44, 97.56)","(87.48, 70.97, 45.2, 96.74)","(88.92, 70.76, 44.56, 96.96)","(90.4, 71.12, 44.64, 97.6)","(92.76, 71.62, 44.86, 98.38)","(84.6, 70.11, 45.82, 94.4)","(80.3, 68.0, 44.42, 91.58)","(66.83, 62.11, 45.48, 78.74)","(58.1, 56.59, 44.76, 68.42)","(60.17, 57.86, 44.76, 70.96)"
