model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(95.16, 87.86, 87.86, 87.87)","(99.7, 93.79, 88.08, 99.5)","(99.55, 93.73, 88.0, 99.46)","(99.55, 93.62, 87.88, 99.36)","(97.68, 90.89, 87.28, 94.5)","(90.94, 82.3, 87.5, 77.1)","(92.5, 84.42, 87.62, 81.22)","(93.58, 85.71, 88.06, 83.36)","(86.26, 76.88, 87.76, 66.0)","(98.87, 92.95, 88.08, 97.82)","(94.46, 87.78, 88.1, 87.46)","(99.56, 93.53, 87.64, 99.42)","(96.29, 89.23, 87.7, 90.76)","(94.03, 86.08, 88.26, 83.9)","(99.34, 93.23, 87.72, 98.74)","(93.18, 84.61, 88.34, 80.88)","(87.12, 77.07, 87.76, 66.38)"
drct-clip-vit-l-14,"(83.71, 69.67, 48.41, 90.92)","(87.02, 71.15, 47.88, 94.42)","(92.15, 73.21, 48.28, 98.14)","(92.0, 73.02, 48.06, 97.98)","(88.68, 72.26, 48.1, 96.42)","(91.77, 73.06, 48.6, 97.52)","(88.17, 72.5, 48.64, 96.36)","(90.26, 72.85, 48.94, 96.76)","(87.35, 71.92, 48.14, 95.7)","(88.98, 72.32, 48.58, 96.06)","(90.82, 72.68, 48.34, 97.02)","(92.4, 73.15, 48.78, 97.52)","(84.43, 70.69, 48.24, 93.14)","(80.1, 68.64, 48.0, 89.28)","(65.89, 62.0, 48.94, 75.06)","(58.76, 56.9, 48.68, 65.12)","(60.51, 58.3, 48.36, 68.24)"
