model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(91.74, 79.29, 97.06, 61.52)","(99.95, 98.27, 97.06, 99.48)","(99.87, 97.96, 97.06, 98.86)","(99.86, 97.83, 97.06, 98.6)","(94.26, 80.02, 97.06, 62.98)","(85.52, 64.06, 97.06, 31.06)","(89.8, 69.6, 97.06, 42.14)","(84.7, 64.47, 97.06, 31.88)","(72.66, 54.64, 97.06, 12.22)","(99.21, 94.77, 97.06, 92.48)","(86.42, 64.13, 97.06, 31.2)","(99.79, 97.55, 97.06, 98.04)","(92.19, 74.21, 97.06, 51.36)","(80.0, 62.45, 97.06, 27.84)","(99.83, 97.74, 97.06, 98.42)","(95.82, 82.66, 97.06, 68.26)","(87.94, 68.28, 97.06, 39.5)"
drct-clip-vit-l-14,"(88.86, 80.2, 74.3, 86.1)","(98.74, 86.71, 74.3, 99.12)","(97.13, 86.28, 74.3, 98.26)","(96.98, 86.17, 74.3, 98.04)","(96.19, 85.76, 74.3, 97.22)","(95.93, 85.73, 74.3, 97.16)","(94.96, 84.98, 74.3, 95.66)","(92.85, 84.02, 74.3, 93.74)","(91.19, 82.73, 74.3, 91.16)","(92.98, 83.74, 74.3, 93.18)","(95.3, 85.49, 74.3, 96.68)","(96.05, 85.47, 74.3, 96.64)","(92.53, 83.41, 74.3, 92.52)","(92.06, 83.19, 74.3, 92.08)","(68.01, 63.8, 74.3, 53.3)","(61.52, 58.86, 74.3, 43.42)","(59.32, 56.83, 74.3, 39.36)"
