model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",ldm-text2im-large-256,stable-diffusion-v1-4,stable-diffusion-v1-5,stable-diffusion-2-1,stable-diffusion-xl-base-1.0,stable-diffusion-xl-refiner-1.0,sd-turbo,sdxl-turbo,lcm-lora-sdv1-5,lcm-lora-sdxl,sd-controlnet-canny,sd21-controlnet-canny,controlnet-canny-sdxl-1.0,stable-diffusion-inpainting,stable-diffusion-2-inpainting,stable-diffusion-xl-1.0-inpainting-0.1
drct-convnext-b,"(99.45, 90.79, 99.82, 81.76)","(100.0, 99.91, 99.82, 100.0)","(100.0, 99.9, 99.82, 99.98)","(100.0, 99.9, 99.82, 99.98)","(99.92, 96.32, 99.82, 92.82)","(99.63, 83.84, 99.82, 67.86)","(99.54, 85.63, 99.82, 71.44)","(99.83, 91.87, 99.82, 83.92)","(98.85, 70.03, 99.82, 40.24)","(100.0, 99.66, 99.82, 99.5)","(99.46, 78.78, 99.82, 57.74)","(100.0, 99.9, 99.82, 99.98)","(99.9, 95.01, 99.82, 90.2)","(99.04, 81.2, 99.82, 62.58)","(100.0, 99.9, 99.82, 99.98)","(99.69, 95.41, 99.82, 91.0)","(95.32, 75.37, 99.82, 50.92)"
drct-clip-vit-l-14,"(96.13, 90.48, 94.22, 86.73)","(99.72, 96.73, 94.22, 99.24)","(99.45, 96.25, 94.22, 98.28)","(99.44, 96.32, 94.22, 98.42)","(98.87, 94.88, 94.22, 95.54)","(99.35, 96.23, 94.22, 98.24)","(98.18, 93.45, 94.22, 92.68)","(98.16, 93.42, 94.22, 92.62)","(97.92, 92.94, 94.22, 91.66)","(97.4, 91.18, 94.22, 88.14)","(98.78, 94.97, 94.22, 95.72)","(99.15, 95.59, 94.22, 96.96)","(97.9, 92.66, 94.22, 91.1)","(97.59, 91.94, 94.22, 89.66)","(98.56, 94.08, 94.22, 93.94)","(85.44, 69.57, 94.22, 44.92)","(72.19, 57.41, 94.22, 20.6)"
