model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",progan,cyclegan,biggan,stylegan,gaugan,stargan,deepfake,seeingdark,san,crn,imle,guided,ldm_200,ldm_200_cfg,ldm_100,glide_100_27,glide_50_27,glide_100_10,dalle
drct-convnext-b,"(79.42, 69.3, 66.5, 72.1)","(65.55, 59.89, 81.1, 38.68)","(52.24, 49.43, 86.37, 12.49)","(70.92, 65.1, 67.1, 63.1)","(78.67, 71.74, 76.4, 67.08)","(43.57, 43.07, 73.8, 12.34)","(64.06, 59.8, 76.64, 42.97)","(85.06, 51.45, 3.18, 99.89)","(94.98, 63.33, 26.67, 100.0)","(98.66, 92.24, 84.93, 99.54)","(36.37, 33.15, 51.3, 15.0)","(49.21, 51.37, 51.3, 51.44)","(96.61, 91.4, 93.4, 89.4)","(100.0, 85.1, 70.2, 100.0)","(100.0, 85.1, 70.2, 100.0)","(100.0, 85.1, 70.2, 100.0)","(91.3, 81.75, 70.2, 93.3)","(91.71, 81.55, 70.2, 92.9)","(94.56, 83.85, 70.2, 97.5)","(95.45, 82.25, 70.2, 94.3)"
drct-clip-vit-l-14,"(85.21, 76.77, 76.69, 76.86)","(91.03, 83.21, 83.12, 83.3)","(98.68, 90.84, 98.64, 83.04)","(93.51, 85.95, 89.75, 82.15)","(79.44, 72.86, 78.35, 67.37)","(86.61, 70.38, 94.6, 46.16)","(96.29, 76.64, 54.73, 98.55)","(70.57, 63.92, 46.62, 81.28)","(74.03, 76.67, 66.67, 86.67)","(87.38, 80.37, 90.41, 70.32)","(35.72, 30.4, 21.09, 39.71)","(65.59, 54.45, 21.09, 87.81)","(93.71, 78.75, 96.8, 60.7)","(96.15, 89.7, 87.9, 91.5)","(89.67, 80.65, 87.9, 73.4)","(96.48, 89.85, 87.9, 91.8)","(89.52, 82.3, 87.9, 76.7)","(88.54, 80.65, 87.9, 73.4)","(90.63, 83.35, 87.9, 78.8)","(95.43, 87.75, 87.9, 87.6)"
