model,"(mAP, mAcc, mAcc_Real, mAcc_fake)",progan,cyclegan,biggan,stylegan,gaugan,stargan,deepfake,seeingdark,san,crn,imle,guided,ldm_200,ldm_200_cfg,ldm_100,glide_100_27,glide_50_27,glide_100_10,dalle
hyperiqa,"(64.76, 62.75, 56.39, 69.11)","(51.39, 53.66, 42.68, 64.65)","(47.68, 50.45, 57.0, 43.91)","(46.28, 46.35, 50.05, 42.65)","(52.02, 54.56, 47.72, 61.39)","(48.66, 50.68, 50.28, 51.08)","(40.74, 43.02, 32.72, 53.33)","(56.89, 51.54, 6.94, 96.29)","(91.49, 78.06, 62.22, 93.89)","(65.43, 58.68, 39.73, 77.63)","(68.06, 63.79, 38.78, 88.8)","(62.33, 63.28, 38.78, 87.78)","(61.17, 64.15, 67.7, 60.6)","(83.39, 80.75, 76.7, 84.8)","(86.97, 80.95, 76.7, 85.2)","(81.99, 81.15, 76.7, 85.6)","(67.77, 65.55, 76.7, 54.4)","(65.86, 62.95, 76.7, 49.2)","(67.59, 65.05, 76.7, 53.4)","(84.77, 77.55, 76.7, 78.4)"
tres,"(64.03, 60.95, 62.34, 59.57)","(58.22, 56.88, 54.5, 59.25)","(51.05, 52.2, 56.62, 47.77)","(50.43, 50.78, 60.3, 41.25)","(47.96, 48.17, 46.67, 49.67)","(55.57, 54.62, 67.7, 41.54)","(42.57, 42.72, 57.78, 27.66)","(49.87, 47.23, 14.44, 80.13)","(70.75, 69.72, 69.44, 70.0)","(68.01, 59.13, 38.81, 79.45)","(73.62, 67.78, 57.18, 78.39)","(64.67, 61.05, 57.18, 64.93)","(55.66, 53.85, 68.3, 39.4)","(86.19, 80.1, 76.5, 83.7)","(87.91, 80.55, 76.5, 84.6)","(84.86, 78.9, 76.5, 81.3)","(63.08, 59.7, 76.5, 42.9)","(59.61, 57.35, 76.5, 38.2)","(61.97, 59.55, 76.5, 42.6)","(84.63, 77.8, 76.5, 79.1)"
contrique,"(84.98, 79.46, 77.35, 81.56)","(91.8, 86.62, 84.92, 88.32)","(81.64, 70.02, 95.69, 44.36)","(80.58, 75.9, 76.9, 74.9)","(81.64, 74.28, 81.87, 66.68)","(54.2, 54.2, 52.88, 55.52)","(99.41, 82.32, 64.63, 100.0)","(58.38, 56.13, 55.19, 57.08)","(84.31, 81.11, 69.44, 92.78)","(85.66, 89.5, 84.47, 94.52)","(54.93, 62.23, 26.45, 98.01)","(82.52, 63.14, 26.45, 99.83)","(97.28, 91.2, 96.3, 86.1)","(98.6, 95.5, 93.5, 97.5)","(98.66, 95.5, 93.5, 97.5)","(98.58, 95.25, 93.5, 97.0)","(90.3, 81.9, 93.5, 70.3)","(89.61, 81.25, 93.5, 69.0)","(92.14, 85.2, 93.5, 76.9)","(94.35, 88.4, 93.5, 83.3)"
reiqa,"(75.98, 69.71, 78.3, 61.13)","(69.75, 66.32, 63.92, 68.72)","(75.91, 66.54, 89.25, 43.83)","(56.45, 55.35, 79.05, 31.65)","(58.16, 56.42, 67.92, 44.92)","(56.99, 54.23, 78.84, 29.62)","(60.09, 62.96, 60.43, 65.48)","(72.02, 57.95, 19.69, 96.33)","(87.6, 80.56, 65.56, 95.56)","(74.51, 65.75, 79.45, 52.05)","(41.99, 45.68, 83.27, 8.09)","(80.04, 69.37, 83.27, 55.48)","(85.0, 72.25, 92.6, 51.9)","(99.2, 94.35, 89.2, 99.5)","(98.78, 93.65, 89.2, 98.1)","(98.98, 94.05, 89.2, 98.9)","(81.15, 71.45, 89.2, 53.7)","(81.77, 72.0, 89.2, 54.8)","(82.23, 73.25, 89.2, 57.3)","(83.04, 72.4, 89.2, 55.6)"
arniqa,"(69.85, 66.31, 71.25, 61.38)","(53.72, 52.59, 60.3, 44.88)","(61.92, 60.56, 73.28, 47.84)","(55.4, 56.72, 66.7, 46.75)","(52.91, 53.88, 58.94, 48.82)","(55.9, 53.6, 82.6, 24.6)","(65.35, 62.88, 66.63, 59.13)","(57.48, 51.03, 5.32, 96.89)","(85.53, 76.94, 77.22, 76.67)","(71.45, 68.04, 55.71, 80.37)","(67.41, 61.86, 82.75, 40.97)","(74.54, 66.76, 82.75, 50.77)","(77.54, 71.9, 80.9, 62.9)","(89.53, 85.95, 80.1, 91.8)","(92.58, 86.45, 80.1, 92.8)","(88.5, 85.25, 80.1, 90.4)","(63.92, 62.0, 80.1, 43.9)","(60.8, 58.6, 80.1, 37.1)","(62.78, 60.85, 80.1, 41.6)","(89.93, 84.1, 80.1, 88.1)"
